Författningsförslag;följa//VB|INF|AKT//conj//2 forskning//NN|UTR|SIN|IND|NOM//obj//55 som//HP|-|-|-//nsubj//58 rör//VB|PRS|AKT//acl:relcl//56 barnkonventionen//NN|UTR|SIN|DEF|NOM//obj//58 samt//KN//cc//61 6//RG|NOM//conj//59 .//MID//punct//2
Författningsförslag;följa//VB|INF|AKT//conj//2 den//DT|UTR|SIN|DEF//det//66 internationella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//66 utvecklingen//NN|UTR|SIN|DEF|NOM//obj//63 rörande//PP//case//68 tolkningen//NN|UTR|SIN|DEF|NOM//nmod//66 och//KN//cc//70 förverkligandet//NN|NEU|SIN|DEF|NOM//conj//68 av//PP//case//72 barnkonventionen//NN|UTR|SIN|DEF|NOM//nmod//70 .//MAD//punct//63
Författningsförslag;3//RG|NOM//nummod//75 §//NN|AN//obl//2
Författningsförslag;Ombudsmannen//NN|UTR|SIN|DEF|NOM//nsubj//2 skall//VB|PRS|AKT//aux//2 uppmärksamma//VB|INF|AKT//ROOT//2 att//SN//mark//11 lagar//NN|UTR|PLU|IND|NOM//nsubj//11 och//KN//cc//7 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//7 författningar//NN|UTR|PLU|IND|NOM//conj//4 samt//KN//cc//10 deras//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//10 tillämpning//NN|UTR|SIN|IND|NOM//conj//4 stämmer//VB|PRS|AKT//ccomp//2 överens//PL//compound:prt//11 med//PP//case//15 Sveriges//PM|GEN//nmod:poss//15 åtagande//NN|NEU|SIN|IND|NOM//obl//11 enligt//PP//case//17 barnkonventionen//NN|UTR|SIN|DEF|NOM//obl//11 .//MAD//punct//2
Författningsförslag;Ombudsmannen//NN|UTR|SIN|DEF|NOM//nsubj//1 får//VB|PRS|AKT//aux//10 inom//PP//case//6 ramen//NN|UTR|SIN|DEF|NOM//fixed//2 för//PP//fixed//2 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//6 åligganden//NN|NEU|PLU|IND|NOM//obl//10 enligt//PP//case//9 första//RO|NOM//amod//9 stycket//NN|NEU|SIN|DEF|NOM//obl//10 ta//VB|INF|AKT//ROOT//10 del//NN|UTR|SIN|IND|NOM//obj//10 av//PP//case//13 domstolars//NN|UTR|PLU|IND|GEN//nmod//11 ,//MID//punct//15 myndigheters//NN|UTR|PLU|IND|GEN//conj//13 ,//MID//punct//17 kommuners//NN|UTR|PLU|IND|GEN//conj//13 och//KN//cc//19 landstings//NN|UTR|SIN|IND|GEN//conj//13 handlingar//NN|UTR|PLU|IND|NOM//conj//13 i//PP//case//22 mål//NN|NEU|PLU|IND|NOM//nmod//20 och//KN//cc//24 ärenden//NN|NEU|PLU|IND|NOM//conj//22 .//MAD//punct//10
Författningsförslag;4//RG|NOM//nummod//27 §//NN|AN//appos//10
Författningsförslag;Myndigheter//NN|UTR|PLU|IND|NOM//nsubj//9 ,//MID//punct//2 kommuner//NN|UTR|PLU|IND|NOM//conj//0 och//KN//cc//4 landsting//NN|NEU|SIN|IND|NOM//conj//0 skall//VB|PRS|AKT//aux//9 på//PP//case//8 ombudsmannens//NN|UTR|SIN|DEF|GEN//nmod:poss//8 uppmaning//NN|UTR|SIN|IND|NOM//obl//9 lämna//VB|INF|AKT//ROOT//9 uppgifter//NN|UTR|PLU|IND|NOM//obj//9 till//PP//case//12 ombudsmannen//NN|UTR|SIN|DEF|NOM//obl//9 om//PP//mark//17 vilka//HD|UTR/NEU|PLU|IND//det//15 åtgärder//NN|UTR|PLU|IND|NOM//dislocated//17 som//HP|-|-|-//nsubj:pass//17 vidtagits//VB|SUP|SFO//advcl//9 för//PP//mark//24 att//IE//mark//24 i//PP//case//23 den//DT|UTR|SIN|DEF//det//23 egna//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//23 verksamheten//NN|UTR|SIN|DEF|NOM//obl//24 genomföra//VB|INF|AKT//advcl//17 barns//NN|NEU|PLU|IND|GEN//nmod:poss//28 och//KN//cc//27 ungdomars//NN|UTR|PLU|IND|GEN//conj//25 rättigheter//NN|UTR|PLU|IND|NOM//obj//24 enligt//PP//case//30 barnkonventionen//NN|UTR|SIN|DEF|NOM//nmod//28 .//MAD//punct//9
Författningsförslag;De//PN|UTR/NEU|PLU|DEF|SUB//nsubj//35 är//VB|PRS|AKT//cop//35 också//AB//advmod//35 skyldiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//parataxis//9 att//IE//mark//40 på//PP//case//39 ombudsmannens//NN|UTR|SIN|DEF|GEN//nmod:poss//39 uppmaning//NN|UTR|SIN|IND|NOM//obl//40 komma//VB|INF|AKT//acl//35 till//PP//case//42 överläggningar//NN|UTR|PLU|IND|NOM//obl//40 med//PP//case//44 denne//PN|MAS|SIN|DEF|SUB/OBJ//nmod//42 .//MAD//punct//35
Författningsförslag;5//RG|NOM//nummod//47 §//NN|AN//appos//35
Författningsförslag;Ombudsmannen//NN|UTR|SIN|DEF|NOM//nsubj//4 skall//VB|PRS|AKT//aux//4 hos//PP//case//3 regeringen//NN|UTR|SIN|DEF|NOM//obl//4 föreslå//VB|INF|AKT//ROOT//4 de//DT|UTR/NEU|PLU|DEF//det//6 författningsändringar//NN|UTR|PLU|IND|NOM//obj//4 eller//KN//cc//9 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//9 åtgärder//NN|UTR|PLU|IND|NOM//conj//6 som//HP|-|-|-//nsubj:pass//11 behövs//VB|PRS|SFO//acl:relcl//9 för//PP//mark//19 att//SN//mark//19 barns//NN|NEU|PLU|IND|GEN//nmod:poss//17 och//KN//cc//16 ungdomars//NN|UTR|PLU|IND|GEN//nmod:poss//17 rättigheter//NN|UTR|PLU|IND|NOM//nsubj:pass//19 skall//VB|PRS|AKT//aux//19 tillgodoses//VB|INF|SFO//advcl//11 .//MAD//punct//4
Författningsförslag;Ombudsmannen//NN|UTR|SIN|DEF|NOM//nsubj//3 skall//VB|PRS|AKT//aux//3 också//AB//advmod//3 sammanställa//VB|INF|AKT//ROOT//3 statistisk//JJ|POS|UTR|SIN|IND|NOM//amod//5 information//NN|UTR|SIN|IND|NOM//obj//3 om//PP//case//10 barns//NN|NEU|PLU|IND|GEN//nmod:poss//10 och//KN//cc//9 ungdomars//NN|UTR|PLU|IND|GEN//conj//7 levnadsvillkor//NN|NEU|PLU|IND|NOM//nmod//5 .//MAD//punct//3
