Till statsrådet Lars-Erik Lövdén ;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 23//RG|NOM//nummod//4 juni//NN|UTR|SIN|IND|NOM//obj//1 1999//RG|NOM//nummod//4 att//IE//mark//7 tillkalla//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//9 expertgrupp//NN|UTR|SIN|IND|NOM//obj//7 (//PAD//punct//9 dir//NN|AN//appos//9 .//MAD//punct//4
5.1 Systemet i Danmark / Utjämning av skatteunderlag;Utgångspunkten//NN|UTR|SIN|DEF|NOM//nsubj//6 för//PP//case//4 de//DT|UTR/NEU|PLU|DEF//det//4 tre//RG|NOM//nummod//4 systemen//NN|NEU|PLU|DEF|NOM//nmod//0 är//VB|PRS|AKT//cop//6 densamma//PN|UTR|SIN|DEF|SUB/OBJ//ROOT//6 .//MAD//punct//6
5.1 Systemet i Danmark / Utjämning av skatteunderlag;De//DT|UTR/NEU|PLU|DEF//det//9 kommuner//NN|UTR|PLU|IND|NOM//nsubj//36 som//HP|-|-|-//nsubj//11 har//VB|PRS|AKT//acl:relcl//9 en//DT|UTR|SIN|IND//det//13 skattekraft//NN|UTR|SIN|IND|NOM//obj//11 (//PAD//punct//9 skatteunderlag//NN|NEU|SIN|IND|NOM//nsubj//27 per//PP//case//17 invånare//NN|UTR|SIN|IND|NOM//nmod//15 )//PAD//punct//15 som//HP|-|-|-//nsubj//21 är//VB|PRS|AKT//cop//21 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//acl:relcl//15 än//KN//case//23 medelskattekraften//NN|UTR|SIN|DEF|NOM//obl//21 i//PP//case//25 riket//NN|NEU|SIN|DEF|NOM//nmod//23 får//VB|PRS|AKT//aux//27 betala//VB|INF|AKT//parataxis//9 ett//DT|NEU|SIN|IND//det//29 bidrag//NN|NEU|SIN|IND|NOM//obj//27 till//PP//case//32 de//DT|UTR/NEU|PLU|DEF//det//32 kommuner//NN|UTR|PLU|IND|NOM//nmod//29 vars//HS|DEF//nmod:poss//34 skattekraft//NN|UTR|SIN|IND|NOM//nsubj//36 är//VB|PRS|AKT//cop//36 mindre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//49 än//KN//case//39 den//DT|UTR|SIN|DEF//det//39 genomsnittliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//obl//36 .//MAD//punct//36
5.1 Systemet i Danmark / Utjämning av skatteunderlag;Det//DT|NEU|SIN|DEF//det//43 danska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//43 inkomstutjämningssystemet//NN|NEU|SIN|DEF|NOM//nsubj//49 är//VB|PRS|AKT//cop//49 med//PP//case//47 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//47 ord//NN|NEU|PLU|IND|NOM//obl//49 helt//AB|POS//advmod//49 inomkommunalt//AB|POS//parataxis//6 och//KN//cc//52 utjämningsresultatet//NN|NEU|SIN|DEF|NOM//nsubj//52 påverkar//VB|PRS|AKT//conj//49 inte//AB//advmod//52 kommunernas//NN|UTR|PLU|DEF|GEN//nmod:poss//55 statsbidrag//NN|NEU|PLU|IND|NOM//obj//52 .//MAD//punct//6
5.1 Systemet i Danmark / Utjämning av skatteunderlag;Bidraget//NN|NEU|SIN|DEF|NOM//nsubj:pass//6 eller//KN//cc//2 avgiften//NN|UTR|SIN|DEF|NOM//conj//0 för//PP//case//5 en//DT|UTR|SIN|IND//det//5 primärkommun//NN|UTR|SIN|IND|NOM//nmod//2 beräknas//VB|PRS|SFO//ROOT//6 i//PP//case//10 den//DT|UTR|SIN|DEF//det//10 landsomfattande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//10 utjämningen//NN|UTR|SIN|DEF|NOM//obl//6  //_SP////10 som//KN//nsubj//21 skillnaden//NN|UTR|SIN|DEF|NOM//fixed//12 mellan//PP//case//17 kommunens//NN|UTR|SIN|DEF|GEN//nmod:poss//17 egen//JJ|POS|UTR|SIN|IND/DEF|NOM//amod//17 skattekraft//NN|UTR|SIN|IND|NOM//nmod//13 och//KN//cc//19 riksgenomsnittet//NN|NEU|SIN|DEF|NOM//conj//17 ,//MID//punct//21 multiplicerat//PC|PRF|NEU|SIN|IND|NOM//acl//10 med//PP//case//24 en//DT|UTR|SIN|IND//det//24 utjämningskvot//NN|UTR|SIN|IND|NOM//obl//21 på//PP//case//26 0,45//RG|NOM//nmod//24 och//KN//cc//29 en//DT|UTR|SIN|IND//det//29 skattetrycksfaktor//NN|UTR|SIN|IND|NOM//conj//26 .//MAD//punct//6
5.1 Systemet i Danmark / Utjämning av skatteunderlag;Skattetrycksfaktorn//NN|UTR|SIN|DEF|NOM//nsubj:pass//32 definieras//VB|PRS|SFO//parataxis//6 som//KN//mark//34 summan//NN|UTR|SIN|DEF|NOM//xcomp//32 av//PP//case//38 de//DT|UTR/NEU|PLU|DEF//det//38 kommunala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//38 nettodrifts-//NN|UTR|-|-|SMS//nmod//34 och//KN//cc//40 anläggningskostnaderna//NN|UTR|PLU|DEF|NOM//conj//38 i//PP//case//43 hela//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//43 landet//NN|NEU|SIN|DEF|NOM//nmod//40 ,//MID//punct//45 dividerad//PC|PRF|UTR|SIN|IND|NOM//advcl//32 med//PP//case//49 det//DT|NEU|SIN|DEF//det//49 samlade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//49 skatteunderlaget//NN|NEU|SIN|DEF|NOM//obl//45 i//PP//case//52 hela//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//52 landet//NN|NEU|SIN|DEF|NOM//nmod//49 .//MAD//punct//6
5.1 Systemet i Danmark / Utjämning av skatteunderlag;Skattetrycksfaktorn//NN|UTR|SIN|DEF|NOM//nsubj:pass//55 används//VB|PRS|SFO//parataxis//6 i//PP//case//61 stället//NN|NEU|SIN|DEF|NOM//fixed//56 för//PP//fixed//56 kommunernas//NN|UTR|PLU|DEF|GEN//nmod:poss//61 egna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//61 skattesatser//NN|UTR|PLU|IND|NOM//obl//55 och//KN//cc//64 kan//VB|PRS|AKT//aux//64 jämföras//VB|INF|SFO//conj//55 med//PP//case//69 den//DT|UTR|SIN|DEF//det//69 s.k.//AB|AN//amod//69 länsvisa//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//69 skattesatsen//NN|UTR|SIN|DEF|NOM//obl//64 i//PP//case//73 det//DT|NEU|SIN|DEF//det//73 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//73 utjämningssystemet//NN|NEU|SIN|DEF|NOM//nmod//69 .//MAD//punct//6
5.1 Systemet i Danmark / Utjämning av skatteunderlag;I//PP//case//4 det//DT|NEU|SIN|DEF//det//4 särskilda//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//4  //_SP////2 utjämningssystemet//NN|NEU|SIN|DEF|NOM//obl//18 för//PP//case//6 kommunerna//NN|UTR|PLU|DEF|NOM//nmod//4 i//PP//case//8 huvudstadsområdet//NN|NEU|SIN|DEF|NOM//nmod//6 ,//MID//punct//8 som//HP|-|-|-//nsubj:pass//12 alltså//AB//advmod//12 görs//VB|PRS|SFO//acl:relcl//8 utöver//PP//case//16 den//DT|UTR|SIN|DEF//det//16 landsomfattande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//16 utjämningen//NN|UTR|SIN|DEF|NOM//obl:agent//12 ,//MID//punct//18 beräknas//VB|PRS|SFO//ROOT//18 bidrag//NN|NEU|SIN|IND|NOM//nsubj:pass//18 eller//KN//cc//21 avgift//NN|UTR|SIN|IND|NOM//conj//19 på//PP//case//25 ett//DT|NEU|SIN|IND//det//25 likartat//JJ|POS|NEU|SIN|IND|NOM//amod//25 sätt//NN|NEU|SIN|IND|NOM//nmod//21 .//MAD//punct//18
5.1 Systemet i Danmark / Utjämning av skatteunderlag;Skillnaden//NN|UTR|SIN|DEF|NOM//nsubj//28 är//VB|PRS|AKT//parataxis//18 att//SN//mark//37 man//PN|UTR|SIN|IND|SUB//nsubj//37 vid//PP//case//32 uträkningen//NN|UTR|SIN|DEF|NOM//obl//37 av//PP//case//35 bidragets//NN|NEU|SIN|DEF|GEN//nmod:poss//35 storlek//NN|UTR|SIN|IND|NOM//nmod//32 här//AB//advmod//37 utgår//VB|PRS|AKT//ccomp//28 från//PP//case//41 den//DT|UTR|SIN|DEF//det//41 genomsnittliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//41 skattekraften//NN|UTR|SIN|DEF|NOM//obl//37 i//PP//case//43 huvudstadsområdet//NN|NEU|SIN|DEF|NOM//nmod//41 och//KN//cc//47 att//SN//mark//47 man//PN|UTR|SIN|IND|SUB//nsubj//47 använder//VB|PRS|AKT//conj//37 en//DT|UTR|SIN|IND//det//49 utjämningskvot//NN|UTR|SIN|IND|NOM//obj//47 på//PP//case//51 0,40//RG|NOM//nmod//49 .//MAD//punct//18
5.1 Systemet i Danmark / Utjämning av skatteunderlag;För//PP//case//1 amtskommunerna//NN|UTR|PLU|DEF|NOM//obl//3  //_SP////1 beräknas//VB|PRS|SFO//ROOT//3 bidraget//NN|NEU|SIN|DEF|NOM//nsubj:pass//3 eller//KN//cc//6 avgiften//NN|UTR|SIN|DEF|NOM//conj//4 som//KN//obj//20 skillnaden//NN|UTR|SIN|DEF|NOM//nsubj//20 mellan//PP//case//12 kommunens//NN|UTR|SIN|DEF|GEN//nmod:poss//12 egen//JJ|POS|UTR|SIN|IND/DEF|NOM//amod//12 skattekraft//NN|UTR|SIN|IND|NOM//nmod//8 och//KN//cc//16 den//DT|UTR|SIN|DEF//det//16 genomsnittliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//16 skattekraften//NN|UTR|SIN|DEF|NOM//conj//12 i//PP//case//18 landet//NN|NEU|SIN|DEF|NOM//nmod//16 ,//MID//punct//20 multiplicerat//PC|PRF|NEU|SIN|IND|NOM//xcomp//3 med//PP//case//23 en//DT|UTR|SIN|IND//det//23 utjämningskvot//NN|UTR|SIN|IND|NOM//obl//20 på//PP//case//25 0,80//RG|NOM//nmod//23 och//KN//cc//28 en//DT|UTR|SIN|IND//det//28 skattetrycksfaktor//NN|UTR|SIN|IND|NOM//conj//25 .//MAD//punct//3
5.1 Systemet i Danmark / Utjämning av skatteunderlag;Skattetrycksfaktorn//NN|UTR|SIN|DEF|NOM//nsubj:pass//33 för//PP//case//32 amtskommunerna//NN|UTR|PLU|DEF|NOM//nmod//30 definieras//VB|PRS|SFO//parataxis//3 på//PP//case//36 motsvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//36 sätt//NN|NEU|SIN|IND|NOM//obl//33 som//KN//mark//39 för//PP//case//39 primärkommunerna//NN|UTR|PLU|DEF|NOM//obl//33 .//MAD//punct//3

5.1 Systemet i Danmark / Utjämning för utgiftsbehov;I//PP//case//1 likhet//NN|UTR|SIN|IND|NOM//obl//8 med//PP//case//3 systemet//NN|NEU|SIN|DEF|NOM//nmod//1 för//PP//case//5 utjämning//NN|UTR|SIN|IND|NOM//nmod//3 av//PP//case//7 skatteunderlaget//NN|NEU|SIN|DEF|NOM//nmod//5 består//VB|PRS|AKT//ROOT//8 systemet//NN|NEU|SIN|DEF|NOM//nsubj//8 för//PP//case//11 utjämning//NN|UTR|SIN|IND|NOM//nmod//9 av//PP//case//13 utgiftsbehov//NN|NEU|PLU|IND|NOM//nmod//11 också//AB//advmod//8 av//PP//case//17 tre//RG|NOM//nummod//17 delar//NN|UTR|PLU|IND|NOM//obl//8 ://MID//punct//17
5.1 Systemet i Danmark / Utjämning för utgiftsbehov;ett//RG|NEU|SIN|IND|NOM//appos//17 för//PP//case//22 alla//DT|UTR/NEU|PLU|IND/DEF//det//22 primärkommuner//NN|UTR|PLU|IND|NOM//nmod//19 ,//MID//punct//19 ett//DT|NEU|SIN|IND//det//25 ytterligare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//19 för//PP//case//27 kommunerna//NN|UTR|PLU|DEF|NOM//nmod//25 i//PP//case//29 huvudstadsområdet//NN|NEU|SIN|DEF|NOM//nmod//27 samt//KN//cc//31 ett//DT|NEU|SIN|IND//conj//19 för//PP//case//33 amtskommunerna//NN|UTR|PLU|DEF|NOM//nmod//31 .//MAD//punct//8
5.1 Systemet i Danmark / Utjämning för utgiftsbehov;Kommuner//NN|UTR|PLU|IND|NOM//nsubj//4 vars//HS|DEF//nmod:poss//2 utgiftsbehov//NN|NEU|PLU|IND|NOM//nsubj//0 är//VB|PRS|AKT//cop//4 mindre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//nsubj//7 än//KN//fixed//4 genomsnittskommunens//NN|UTR|SIN|IND|NOM//obl//4 betalar//VB|PRS|AKT//advcl//40 ett//DT|NEU|SIN|IND//det//9 bidrag//NN|NEU|SIN|IND|NOM//obj//7 till//PP//case//12 de//DT|UTR/NEU|PLU|DEF//det//12 kommuner//NN|UTR|PLU|IND|NOM//nmod//9 vars//HS|DEF//nmod:poss//14 utgiftsbehov//NN|NEU|PLU|IND|NOM//nsubj//16 är//VB|PRS|AKT//cop//16 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//acl:relcl//12 än//KN//case//18 genomsnittet//NN|NEU|SIN|DEF|NOM//nmod//16 .//MAD//punct//7
5.1 Systemet i Danmark / Utjämning för utgiftsbehov;Således//AB//advmod//7 är//VB|PRS|AKT//cop//26 även//AB//advmod//23 detta//PN|NEU|SIN|DEF|SUB/OBJ//expl//21 ett//DT|NEU|SIN|IND//det//26 inomkommunalt//JJ|POS|NEU|SIN|IND|NOM//amod//26 utjämningssystem//NN|NEU|SIN|IND|NOM//nsubj//7 skilt//VB|SUP|AKT//advmod//29 från//PP//case//29 statsbidragen//NN|UTR|SIN|DEF|NOM//nmod//26 .//MAD//punct//7
5.1 Systemet i Danmark / Utjämning för utgiftsbehov;I//PP//case//32 likhet//NN|UTR|SIN|IND|NOM//obl//40 med//PP//mark//37 vad//HP|NEU|SIN|IND//dislocated//37 som//HP|-|-|-//nsubj//37 är//VB|PRS|AKT//cop//37 fallet//NN|NEU|SIN|DEF|NOM//acl//32 i//PP//case//39 inkomstutjämningen//NN|UTR|SIN|DEF|NOM//nmod//37 utjämnas//VB|PRS|SFO//ROOT//40 utgiftsbehovet//NN|NEU|SIN|DEF|NOM//nsubj:pass//40 för//PP//case//43 kommunerna//NN|UTR|PLU|DEF|NOM//obl//40 i//PP//case//45 huvudstadsområdet//NN|NEU|SIN|DEF|NOM//nmod//43 i//PP//case//48 två//RG|NOM//nummod//48 steg//NN|NEU|PLU|IND|NOM//nmod//45 .//MAD//punct//40
5.1 Systemet i Danmark / Utjämning för utgiftsbehov;I//PP//case//3 det//DT|NEU|SIN|DEF//det//3 landsomfattande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//3 systemet//NN|NEU|SIN|DEF|NOM//obl//5  //_SP////3 beräknas//VB|PRS|SFO//ROOT//5 bidraget//NN|NEU|SIN|DEF|NOM//nsubj:pass//5 eller//KN//cc//8 avgiften//NN|UTR|SIN|DEF|NOM//conj//6 för//PP//case//12 landets//NN|NEU|SIN|DEF|GEN//nmod:poss//12 alla//DT|UTR/NEU|PLU|IND/DEF//det//12 primärkommuner//NN|UTR|PLU|IND|NOM//obl//5 som//KN//obl//47 skillnaden//NN|UTR|SIN|DEF|NOM//nsubj//47 mellan//PP//case//18 det//DT|NEU|SIN|DEF//det//18 egna//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//18 utgiftsbehovet//NN|NEU|SIN|DEF|NOM//nmod//14 per//PP//case//20 invånare//NN|UTR|SIN|IND|NOM//nmod//18 och//KN//cc//24 det//DT|NEU|SIN|DEF//det//24 genomsnittliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//24 utgiftsbehovet//NN|NEU|SIN|DEF|NOM//conj//14 per//PP//case//26 invånare//NN|UTR|SIN|IND|NOM//nmod//24 ,//MID//punct//28 multiplicerat//PC|PRF|NEU|SIN|IND|NOM//conj//14 med//PP//case//31 kommunens//NN|UTR|SIN|DEF|GEN//nmod:poss//31 invånarantal//NN|NEU|SIN|IND|NOM//nmod//14 och//KN//cc//34 en//DT|UTR|SIN|IND//det//34 utjämningskvot//NN|UTR|SIN|IND|NOM//conj//14 på//PP//case//36 0,45//RG|NOM//nmod//34 .//MAD//punct//41
5.1 Systemet i Danmark / Utjämning för utgiftsbehov;Som//KN//case//41 grund//NN|UTR|SIN|IND|NOM//fixed//38 för//PP//fixed//38 beräkningen//NN|UTR|SIN|DEF|NOM//nmod//14 av//PP//case//46 den//DT|UTR|SIN|DEF//det//45 enskilda//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//45 kommunens//NN|UTR|SIN|DEF|GEN//nmod:poss//46 utgiftsbehov//NN|NEU|PLU|IND|NOM//nmod//41 ligger//VB|PRS|AKT//acl:relcl//12 åldersfaktorer//NN|UTR|PLU|IND|NOM//obj//47 och//KN//cc//53 ett//DT|NEU|SIN|IND//det//51 antal//NN|NEU|SIN|IND|NOM//nmod//53 sociala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//53 faktorer//NN|UTR|PLU|IND|NOM//conj//48 .//MAD//punct//5
5.1 Systemet i Danmark / Utjämning för utgiftsbehov;Stor//JJ|POS|UTR|SIN|IND|NOM//amod//56 vikt//NN|UTR|SIN|IND|NOM//nsubj:pass//57 läggs//VB|PRS|SFO//conj//5 här//AB//advmod//57 vid//PP//case//60 faktorer//NN|UTR|PLU|IND|NOM//obl//57 som//KN//mark//62 ensamstående//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//acl//60 med//PP//case//64 barn//NN|NEU|PLU|IND|NOM//obl//62 ,//MID//punct//66 arbetslösa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//62 och//KN//cc//68 bostadssituationen//NN|NEU|PLU|DEF|NOM//conj//62 .//MAD//punct//5
5.1 Systemet i Danmark / Utjämning för utgiftsbehov;Det//DT|NEU|SIN|DEF//det//2 tillkommande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//2 bidraget//NN|NEU|SIN|DEF|NOM//nsubj:pass//10 ///MID//cc//4 avgiften//NN|UTR|SIN|DEF|NOM//nmod//2 för//PP//case//6 kommuner//NN|UTR|PLU|IND|NOM//nmod//2 i//PP//case//8 huvudstadsområdet//NN|NEU|SIN|DEF|NOM//nmod//6  //_SP////8 beräknas//VB|PRS|SFO//ROOT//10 på//PP//case//13 liknande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//13 sätt//NN|NEU|SIN|IND|NOM//obl//10 .//MAD//punct//10
5.1 Systemet i Danmark / Utjämning för utgiftsbehov;Skillnaden//NN|UTR|SIN|DEF|NOM//nsubj//16 är//VB|PRS|AKT//parataxis//10 att//SN//mark//20 man//PN|UTR|SIN|IND|SUB//nsubj//20 här//AB//advmod//20 använder//VB|PRS|AKT//ccomp//16 det//DT|NEU|SIN|DEF//det//23 genomsnittliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//23 utgiftsbehovet//NN|NEU|SIN|DEF|NOM//obj//20 per//PP//case//25 invånare//NN|UTR|SIN|IND|NOM//obl//20 för//PP//case//27 kommunerna//NN|UTR|PLU|DEF|NOM//obl//20 i//PP//case//29 huvudstadsområdet//NN|NEU|SIN|DEF|NOM//nmod//27 i//PP//case//36 stället//NN|NEU|SIN|DEF|NOM//fixed//30 för//PP//fixed//30 det//DT|NEU|SIN|DEF//det//36 genomsnittliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//36 kommunala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//36 utgiftsbehovet//NN|NEU|SIN|DEF|NOM//obl//20 i//PP//case//39 hela//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//39 landet//NN|NEU|SIN|DEF|NOM//nmod//36 ,//MID//punct//20 samt//KN//cc//44 att//SN//mark//44 utjämningskvoten//NN|UTR|SIN|DEF|NOM//nsubj:pass//44 satts//VB|SUP|SFO//conj//20 till//PP//case//46 0,40//RG|NOM//obl//44 .//MAD//punct//16
5.1 Systemet i Danmark / Utjämning för utgiftsbehov;Beräkningen//NN|UTR|SIN|DEF|NOM//nsubj//54 av//PP//case//53 den//DT|UTR|SIN|DEF//det//52 enskilda//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//52 kommunens//NN|UTR|SIN|DEF|GEN//nmod:poss//53 utgiftsbehov//NN|NEU|PLU|IND|NOM//nmod//48 vilar//VB|PRS|AKT//parataxis//16 även//AB//advmod//54 här//AB//advmod//54 på//PP//case//59 en//DT|UTR|SIN|IND//det//59 kombination//NN|UTR|SIN|IND|NOM//obl//54 av//PP//case//61 ålders-//NN|UTR|-|-|SMS//nmod//59 och//KN//cc//64 sociala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//64 faktorer//NN|UTR|PLU|IND|NOM//conj//61 .//MAD//punct//54
5.1 Systemet i Danmark / Utjämning för utgiftsbehov;Förutom//PP//case//67 faktorerna//NN|UTR|PLU|DEF|NOM//obl//72 i//PP//case//71 det//DT|NEU|SIN|DEF//det//71 landsomfattande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//71 systemet//NN|NEU|SIN|DEF|NOM//nmod//67 tar//VB|PRS|AKT//parataxis//54 man//PN|UTR|SIN|IND|SUB//nsubj//72 här//AB//advmod//72 även//AB//advmod//72 hänsyn//NN|UTR|SIN|IND|NOM//obj//72 till//PP//case//78 antalet//NN|NEU|SIN|DEF|NOM//nmod//79 vuxna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//obj//72 utan//PP//case//81 yrkesutbildning//NN|UTR|SIN|IND|NOM//obl//72 .//MAD//punct//16
5.1 Systemet i Danmark / Utjämning för utgiftsbehov;Amtskommunernas//NN|UTR|PLU|DEF|GEN//nmod:poss//2  //_SP////0 bidrag//NN|NEU|SIN|IND|NOM//nsubj:pass//5 respektive//AB//cc//4 avgift//NN|UTR|SIN|IND|NOM//conj//2 beräknas//VB|PRS|SFO//ROOT//5 som//KN//mark//7 skillnaden//NN|UTR|SIN|DEF|NOM//obl//5 mellan//PP//case//12 den//DT|UTR|SIN|DEF//det//11 enskilda//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//11 amtskommunens//NN|UTR|SIN|DEF|GEN//nmod:poss//12 utgiftsbehov//NN|NEU|SIN|IND|NOM//nmod//7 per//PP//case//14 invånare//NN|UTR|SIN|IND|NOM//nmod//12 och//KN//cc//18 det//DT|NEU|SIN|DEF//det//18 genomsnittliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//18 utgiftsbehovet//NN|NEU|SIN|DEF|NOM//conj//7 per//PP//case//20 invånare//NN|UTR|SIN|IND|NOM//nmod//18 för//PP//case//24 landets//NN|NEU|SIN|DEF|GEN//nmod:poss//24 alla//DT|UTR/NEU|PLU|IND/DEF//det//24 amtskommuner//NN|UTR|PLU|IND|NOM//nmod//18 ,//MID//punct//26 multiplicerat//PC|PRF|NEU|SIN|IND|NOM//conj//7 med//PP//case//29 amtskommunens//NN|UTR|SIN|DEF|GEN//nmod:poss//29 invånarantal//NN|NEU|SIN|IND|NOM//obl//26 och//KN//cc//32 en//DT|UTR|SIN|IND//det//32 utjämningskvot//NN|UTR|SIN|IND|NOM//conj//7 på//PP//case//34 0,80//RG|NOM//nmod//32 .//MAD//punct//5
5.1 Systemet i Danmark / Utjämning för utgiftsbehov;Den//DT|UTR|SIN|DEF//det//38 högre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//38 utjämningskvoten//NN|UTR|SIN|DEF|NOM//nsubj//39 innebär//VB|PRS|AKT//parataxis//5 att//SN//mark//48 utjämningen//NN|UTR|SIN|DEF|NOM//nsubj//48 av//PP//case//43 utgiftsbehovet//NN|NEU|SIN|DEF|NOM//nmod//41 för//PP//case//45 amtskommuner//NN|UTR|PLU|IND|NOM//nmod//43 är//VB|PRS|AKT//cop//48 mer//AB|KOM//advmod//48 långtgående//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//ccomp//39 än//KN//case//53 för//PP//case//53 de//DT|UTR/NEU|PLU|DEF//det//53 övriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//53 kommunerna//NN|UTR|PLU|DEF|NOM//obl//48 ,//MID//punct//57 vilket//HP|NEU|SIN|IND//nsubj//57 också//AB//advmod//57 gäller//VB|PRS|AKT//acl:relcl//53 för//PP//case//60 amtskommunernas//NN|UTR|PLU|DEF|GEN//nmod:poss//60 inkomstutjämning//NN|UTR|SIN|IND|NOM//obl//57 .//MAD//punct//48
5.1 Systemet i Danmark / Utjämning för utgiftsbehov;På//PP//case//64 samma//DT|UTR/NEU|SIN/PLU|IND//amod//64 sätt//NN|NEU|SIN|IND|NOM//obl//48 som//KN//mark//70 för//PP//case//69 de//DT|UTR/NEU|PLU|DEF//det//69 övriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//69 kommunerna//NN|UTR|PLU|DEF|NOM//obl//70 beräknas//VB|PRS|SFO//acl//64 den//DT|UTR|SIN|DEF//det//73 enskilda//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//73 amtskommunens//NN|UTR|SIN|DEF|GEN//nmod:poss//74 utgiftsbehov//NN|NEU|SIN|IND|NOM//obj//70 med//PP//case//79 utgångspunkt//NN|UTR|SIN|IND|NOM//fixed//75 från//PP//fixed//75 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//79 åldersfaktorer//NN|UTR|PLU|IND|NOM//nmod//74 och//KN//cc//82 sociala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//82 faktorer//NN|UTR|PLU|IND|NOM//conj//79 .//MAD//punct//64
5.1 Systemet i Danmark / Utjämning för utgiftsbehov;Störst//JJ|SUV|UTR/NEU|SIN/PLU|IND|NOM//amod//85 vikt//NN|UTR|SIN|IND|NOM//nsubj:pass//86 ges//VB|PRS|SFO//acl//64 åt//PP//case//88 kriterierna//NN|NEU|PLU|DEF|NOM//obl//86 ensamstående//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//acl//88 med//PP//case//91 barn//NN|NEU|PLU|IND|NOM//nmod//89 och//KN//cc//93 antalet//NN|NEU|SIN|DEF|NOM//nmod//95 ensamstående//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//95 äldre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//acl//88 (//PAD//punct//95 över//PP//advmod//98 65//RG|NOM//nummod//99 år//NN|NEU|PLU|IND|NOM//appos//95 )//PAD//punct//95 .//MAD//punct//5

