7LOO VWDWVUnGHW RFK FKHIHQ I|U 0LOM|GHSDUWHPHQWHW;+//MID//cc//1 nNDQ//NN|AN//ROOT//1 -XOLXV//MAD//punct//1
3 PlUNQLQJ / $OOPlQW (5);2//RG|NOM//nummod//2  //_SP////7 &//KN|AN//conj//2 !//MAD//punct//2
3 PlUNQLQJ / $OOPlQW (5);                  //_SP////10 !//MID//punct//2
3 PlUNQLQJ / $OOPlQW (5);  //_SP////12 %//NN|AN//appos//2     //_SP////14 &//KN|AN//conj//2 !//MID//punct//2 #//MID//compound//22
3 PlUNQLQJ / $OOPlQW (5);"   //_SP////18 '//PAD//punct//18                             //_SP////20 #//MID//appos//2 ""//PAD//punct//2                 //_SP////23 !//MID//punct//2 %//NN|AN//appos//2"
3 PlUNQLQJ / $OOPlQW (5);          //_SP////26 !//MID//punct//26
3 PlUNQLQJ / $OOPlQW (5);                                  //_SP////28 %//NN|AN//conj//2      //_SP////30 '//PAD//punct//2        //_SP////32 %//NN|AN//appos//2
3 PlUNQLQJ / $OOPlQW (5);RFK//PM|NOM//ROOT//0 WYnERVWDGVKXV//MID//punct//0

3 PlUNQLQJ / 5HJLVWHU;"!//MAD//ROOT//0 '//PAD//punct//0 !//MID//punct//1 !//MID//punct//4 #//NN|UTR|SIN|IND|NOM//dep//1 ""//PAD//punct//4 .//MAD//punct//4 !//MID//punct//4 !//MID//punct//4"
3 PlUNQLQJ / 5HJLVWHU;              //_SP////8 '//PAD//punct//4       //_SP////10 !//MID//punct//4
3 PlUNQLQJ / 5HJLVWHU;         //_SP////12 .//MAD//punct//4
3 PlUNQLQJ / 5HJLVWHU;  //_SP////14 !//MAD//punct//4
3 PlUNQLQJ / 5HJLVWHU;SUHVHQWHUDU//PM|NOM//ROOT//0 LQIRUPDWLRQHQ//PM|NOM//obj//0

3 PlUNQLQJ / ,QIRUPDWLRQ;(//PAD//punct//2 QHUJLP\QGLJKHWHQ//RG|NOM//nmod//2 RFK//PM|NOM//ROOT//2 6YHQVND//RG|NOM//nummod//2 NRPPXQI|UEXQGHW//NN|AN//conj//2 9L//RG|NOM//conj//2 EHUlNQDU//RG|NOM//conj//2
3 PlUNQLQJ / ,QIRUPDWLRQ;NRVWQDGHQ//NN|UTR|SIN|DEF|GEN//nsubj//1 I|U//PM|NOM//ROOT//1 LQIRUPDWLRQVPDWHULDO//PM|NOM//advmod//1 DQQRQVHU//PS|NEU|SIN|DEF//amod//4 RFK//PM|NOM//obj//1 |YULJ//JJ|POS|UTR/NEU|SIN|DEF|NOM//case//6 VSULGQLQJ//NN|UTR|SIN|DEF|NOM//obl//1


3 PlUNQLQJ / )LQDQVLHULQJ;(//PAD//punct//2    //_SP////0 ///MID//ROOT//2 !//MID//punct//5
3 PlUNQLQJ / )LQDQVLHULQJ;"        //_SP////3 #//MID//nummod//2 ""//PAD//punct//5      //_SP////6 2//RG|NOM//nummod//9 %//NN|AN//parataxis//2 .///MAD//punct//2"

3 PlUNQLQJ / gYULJD NRQVHNYHQVHU;GRNXPHQWHUDW//PM|NOM//ROOT//0 IXQJHUDQGH//NN|UTR|SIN|IND|NOM//obj//0 YHQWLODWLRQ//PM|NOM//case//4 %//NN|AN//nmod//4 OXIW//PM|NOM//obl//1

3 PlUNQLQJ / )|UIDWWQLQJVNRPPHQWDU;NDS//PM|NOM//ROOT//0    //_SP////0 †//NN|AN//punct//0 †//NN|AN//punct//0 †//NN|AN//punct//0

3 PlUNQLQJ / RP IDVWLJKHWVUHJLVWHU;†//NN|UTR|SIN|IND|NOM//ROOT//0 †//NN|AN//punct//0 †//NN|NEU|SIN|IND|NOM//punct//1 †//NN|NEU|SIN|IND|NOM//punct//2 †//NN|NEU|SIN|IND|NOM//punct//3 †//NN|AN//punct//4 †//NN|AN//punct//5
3 PlUNQLQJ / RP IDVWLJKHWVUHJLVWHU;VRP//PM|NOM//nsubj//1 I|UHELOGHU//PM|NOM//ROOT//1 †//NN|AN//punct//1 †//NN|AN//punct//1 †//NN|AN//punct//1

3 PlUNQLQJ / RP IXQNWLRQVNRQWUROO DY YHQWLODWLRQVV\VWHP;†//NN|UTR|SIN|IND|NOM//ROOT//0 †//NN|AN//punct//0 †//NN|NEU|SIN|IND|NOM//punct//1 †//NN|NEU|SIN|IND|NOM//punct//2 †//NN|NEU|SIN|IND|NOM//punct//3 †//NN|NEU|SIN|IND|NOM//punct//4 †//NN|NEU|SIN|IND|NOM//punct//5 †//NN|NEU|SIN|IND|NOM//punct//6 †//NN|NEU|SIN|IND|NOM//punct//7 †//NN|NEU|SIN|IND|NOM//punct//8 †//NN|AN//punct//9 †//NN|AN//punct//10
3 PlUNQLQJ / RP IXQNWLRQVNRQWUROO DY YHQWLODWLRQVV\VWHP;WD//PM|NOM//obl//2 [//PAD//obl//2 HULQJVI|URUGQLQJHQ//NN|AN//nmod//3 VRP//PM|NOM//ROOT//3 I|UHELOG//PM|NOM//nmod//3
3 PlUNQLQJ / RP IXQNWLRQVNRQWUROO DY YHQWLODWLRQVV\VWHP;E\JJQDGVlJDUHQ//UO//ROOT//0 †//PAD//punct//0

3 PlUNQLQJ / .RPPLWWpGLUHNWLY;6DPPDQIDWWQLQJ//RG|NOM//case//1 DY//PM|NOM//obl//3 XSSGUDJHW//PM|NOM//flat//1 8WUHGDUHQ//KN|AN//det//4 VNDOO//PM|NOM//obl//8 %//NN|AN//nsubj//4 DNJUXQG//PM|NOM//nmod//7 RFK//PM|NOM//nmod//4 V\IWHQ//PM|NOM//compound//10 %//NN|AN//nmod//10 \JJQDGVGHNODUDWLRQHU//MAD//ROOT//10
3 PlUNQLQJ / .RPPLWWpGLUHNWLY;VNDWWHI|UYDOWQLQJHQV//KN//nmod//1 IDVWLJKHWVWD//NN|UTR|SIN|IND|NOM//ROOT//1 [//PAD//nmod//3 HULQJVUHJLVWHU//PM|NOM//nmod//1 ,//MID//punct//6 QQHKnOOHW//PAD//obl//6 L//PM|NOM//conj//3 E\JJQDGVGHNODUDWLRQHU//PM|NOM//conj//3 %//NN|AN//conj//3 \JJIHOVI|UVlNULQJ//RG|NOM//conj//3 %//NN|AN//nmod//11 \JJIHOVI|UVlNULQJHQ//RG|NOM//nmod//3 0LOM|EHG|PQLQJ//RG|NOM//conj//3
3 PlUNQLQJ / .RPPLWWpGLUHNWLY;EHW//PM|NOM//nmod//2 %//NN|AN//nmod//2 R8//PM|NOM//nsubj//3 UVNU//NN|UTR|SIN|IND|NOM//ROOT//3 .RQVHNYHQVHU//MAD//punct//5 7LOOlJJVGLUHNWLY//RG|NOM//nmod//6 WLOO//PM|NOM//conj//3 '//PAD//punct//6 LU//PM|NOM//conj//3 0LOM|GHSDUWHPHQWHW//RG|NOM//flat:name//8 (//PAD//punct//8 Y//PM|NOM//appos//8  //_SP////11 NRPPHQWDU//PM|NOM//obl//3 (//PAD//punct//13 Y//PM|NOM//appos//13  //_SP////15 NRPPHQWDU//PM|NOM//obl//3 (//PAD//punct//17 Y//PM|NOM//appos//17  //_SP////19 NRPPHQWDU//PM|NOM//obl//3 (//PAD//punct//21 Y//PM|NOM//appos//21  //_SP////23 NRPPHQWDU//PM|NOM//conj//23
3 PlUNQLQJ / .RPPLWWpGLUHNWLY;GDWXP//PM|NOM//nsubj//1 I|U//PM|NOM//ROOT//1 YHQWLODWLRQVNRQWUROOHQ//PM|NOM//obj//1
3 PlUNQLQJ / .RPPLWWpGLUHNWLY;W\S//RG|NOM//nmod//1 DY//PM|NOM//ROOT//1 YHQWLODWLRQVV\VWHP//PM|NOM//acl//1
3 PlUNQLQJ / .RPPLWWpGLUHNWLY;DQPlUNQLQJ//RG|NOM//nmod:poss//2 YLG//PM|NOM//nmod//2 EHVLNWQLQJ//PM|NOM//ROOT//2
3 PlUNQLQJ / .RPPLWWpGLUHNWLY;DQPlUNQLQJ//RG|NOM//ROOT//0 nWJlUGDG//PM|NOM//case//2 RFK//PM|NOM//nmod//0
3 PlUNQLQJ / .RPPLWWpGLUHNWLY;GDWXP//PM|NOM//nsubj//1 I|U//PM|NOM//ROOT//1 EHVLNWQLQJVSURWRNROO//PM|NOM//obj//1 (//PAD//punct//2 Y//PM|NOM//appos//2  //_SP////4 NRPPHQWDU//PM|NOM//conj//4 (//PAD//punct//6 Y//PM|NOM//appos//6  //_SP////8 NRPPHQWDU//PM|NOM//conj//8 (//PAD//punct//8 Y//PM|NOM//conj//4  //_SP////12 NRPPHQWDU//PM|NOM//conj//4 .RPPXQ//MID//punct//2 .RQWDNWSHUVRQ//RG|NOM//punct//1 HU//PM|NOM//obj//1 (//PAD//punct//17 SVWDGUHVV//UO//appos//17 7HOHIRQQXPPHU//AB|AN//conj//17

3 PlUNQLQJ / (QNlWVYDU %LODJD;" //_SP////1 !//MID//ROOT//1 ""//PAD//punct//5"
3 PlUNQLQJ / (QNlWVYDU %LODJD;   //_SP////2 !//MID//punct//2 #//MID//dep//1 !//MID//punct//5
3 PlUNQLQJ / (QNlWVYDU %LODJD;$//NN|NEU|SIN|IND|NOM//nummod//8 %//NN|AN//dep//5 !//MID//punct//8 &//KN|AN//cc//11 %//NN|AN//conj//5 '//PAD//punct//5
3 PlUNQLQJ / (QNlWVYDU %LODJD;                                                //_SP////12 !//MID//punct//5
3 PlUNQLQJ / (QNlWVYDU %LODJD;"                   //_SP////14 (//PAD//punct//5 $//UO//dep//5 ""//PAD//punct//5                    //_SP////18 (//PAD//punct//5 $//UO//dep//5 '//PAD//punct//5                     //_SP////22 )//PAD//punct//5             //_SP////24 !//MID//punct//5 )//PAD//punct//5 )//PAD//punct//5 &//KN|AN//cc//30"
3 PlUNQLQJ / (QNlWVYDU %LODJD;-+//NN|UTR|PLU|IND|NOM//conj//5 !//MID//punct//5 !//MID//punct//5 .//MAD//punct//5
3 PlUNQLQJ / (QNlWVYDU %LODJD; //_SP////33 +//MID//cc//40      //_SP////35 !//MID//punct//35 #//NN|UTR|SIN|IND|NOM//nummod//39 %//NN|AN//nmod//40 #//RG|NOM//conj//5 !//MID//punct//5 #//NN|UTR|SIN|IND|NOM//dep//5 !//MID//punct//42 #//NN|UTR|SIN|IND|NOM//nummod//46 %//NN|AN//nmod//46 %//NN|AN//appos//5 !//MID//punct//46
3 PlUNQLQJ / (QNlWVYDU %LODJD;  //_SP////47 )//PAD//punct//5                                               //_SP////49 !//MID//punct//5 #//NN|UTR|SIN|IND|NOM//dep//5 &//KN|AN//cc//52
3 PlUNQLQJ / (QNlWVYDU %LODJD;                 //_SP////53 )//PAD//punct//52 %//NN|AN//nmod//57 %//NN|AN//dep//5                       //_SP////57 ///MID//cc//62   //_SP////59 %//NN|AN//nmod//62 %//NN|AN//conj//5 ///MID//cc//65                  //_SP////63 &//KN|AN//conj//5 '//PAD//punct//65 0//RG|NOM//nummod//69                              //_SP////67 %//NN|AN//dep//5 '//PAD//punct//69       //_SP////70 !//MID//punct//69 #//MID//dep//5
3 PlUNQLQJ / (QNlWVYDU %LODJD;      //_SP////73 )//PAD//punct//73                          //_SP////75 )//PAD//punct//5                 //_SP////77 #//MID//punct//5 $//UO//nummod//5 )//PAD//punct//5 !//MAD//punct//5 '//PAD//punct//5
3 PlUNQLQJ / (QNlWVYDU %LODJD;                     //_SP////83 #//MID//punct//5                //_SP////85 !//MID//punct//5 #//MID//punct//5
3 PlUNQLQJ / (QNlWVYDU %LODJD;    //_SP////88 3//RG|NOM//dep//5    //_SP////90 !//MID//punct//5 #//MID//punct//5
3 PlUNQLQJ / (QNlWVYDU %LODJD;                              //_SP////93 #//MID//punct//5 #//MID//dep//5       //_SP////96 !//MID//punct//5 !//MID//punct//5 !//MID//punct//5 #//NN|UTR|SIN|IND|NOM//punct//103 %//NN|AN//nmod//103 #//NN|UTR|SIN|IND|NOM//dep//5 &//KN|AN//cc//103 '//PAD//punct//103
3 PlUNQLQJ / (QNlWVYDU %LODJD;"        //_SP////105 %//NN|AN//nmod//110      //_SP////107 %//NN|AN//nmod//110 $//NN|AN//dep//5 %//NN|AN//dep//5        //_SP////111 )//PAD//punct//5 !//MID//punct//115 #//MID//dep//5 ""//PAD//punct//5"
3 PlUNQLQJ / (QNlWVYDU %LODJD;   //_SP////116 !//MID//punct//5 #//MID//dep//5
3 PlUNQLQJ / (QNlWVYDU %LODJD;                                                      //_SP////119 ://MID//punct//5 ://MID//punct//5
3 PlUNQLQJ / (QNlWVYDU %LODJD;        //_SP////122 #//MID//dep//5      //_SP////124 (//PAD//punct//5 !//MID//punct//5
3 PlUNQLQJ / (QNlWVYDU %LODJD;"                              //_SP////127 %//NN|AN//conj//5 ;//MID//punct//5"
3 PlUNQLQJ / (QNlWVYDU %LODJD;             //_SP////130 %//NN|AN//conj//5 ://MID//punct//132 #//NN|UTR|SIN|IND|NOM//parataxis//5 ///MID//cc//134 ///MID//cc//134 ///MID//cc//134 &//KN|AN//nmod//134
3 PlUNQLQJ / (QNlWVYDU %LODJD;(//PAD//punct//134        //_SP////139 !//MAD//punct//5


3 PlUNQLQJ / $OOPlQW (6);";//MID//ROOT//0"
3 PlUNQLQJ / $OOPlQW (6);     //_SP////0 75<=//RG|NOM//punct//0 <//MID//nmod//2 ://MID//punct//3
3 PlUNQLQJ / $OOPlQW (6);8QGHUV|NQLQJVSOLNWHQ//RG|NOM//appos//3 8WIlVWHOVH//RG|SMS//flat:name//5 ,//MID//punct//5 QWH//PM|NOM//nmod//9 XWIlVWHOVH//RG|NOM//appos//5

3 PlUNQLQJ / %ULVW L +\UHVOlJHQKHW;>//MID//punct//11 $//NN|NEU|SIN|IND|NOM//nmod//3 %//NN|AN//nmod//3 $//NN|AN//nsubj//11 #//MID//nmod//3 %//NN|AN//nmod//6 $//NN|AN//nmod//3 !//MID//punct//6
3 PlUNQLQJ / %ULVW L +\UHVOlJHQKHW;"$//NN|UTR|SIN|IND|NOM//nmod//3 ;//MID//punct//3"
3 PlUNQLQJ / %ULVW L +\UHVOlJHQKHW;    //_SP////9 76*36,=//RG|NOM//ROOT//11 *//MID//punct//13 5//RG|NOM//nummod//11 +//MID//punct//11   //_SP////14 ?//MID//punct//11
3 PlUNQLQJ / %ULVW L +\UHVOlJHQKHW;   //_SP////16 )//PAD//punct//11 +//MID//cc//20 #//UO//conj//11         //_SP////20 (//PAD//punct//20           //_SP////22 )//PAD//punct//20 5//RG|NOM//nummod//28          //_SP////25 56//RG|NOM//nummod//28 8SSOnWHOVH//RG|NOM//appos//20 )//PAD//punct//28 ://MID//punct//11
3 PlUNQLQJ / %ULVW L +\UHVOlJHQKHW;                //_SP////30 (//PAD//punct//30           //_SP////32 )//PAD//punct//11        //_SP////34 )//PAD//punct//34     //_SP////36 .//MAD//punct//36
3 PlUNQLQJ / %ULVW L +\UHVOlJHQKHW;(//PAD//punct//46 QOLJW//UO//advmod//46 *//MID//punct//42 UDXHUV//PM|NOM//conj//40 JlOOHU//NN|NEU|SIN|IND|NOM//nmod//44 L//PM|NOM//conj//40 SULQFLS//PM|NOM//conj//40 VDPPD//PM|NOM//appos//11 XQGHUV|NQLQJVSOLNW//KN//amod//49 I|U//PM|NOM//amod//49 HQ//PM|NOM//obj//46 )//PAD//punct//46 ://MID//punct//11
3 PlUNQLQJ / %ULVW L +\UHVOlJHQKHW;                //_SP////51 (//PAD//punct//51           //_SP////53 )//PAD//punct//11       //_SP////55 )//PAD//punct//11     //_SP////57 .//MAD//punct//11 )//PAD//punct//11 ://MID//case//79
3 PlUNQLQJ / %ULVW L +\UHVOlJHQKHW;                //_SP////61 (//PAD//punct//61           //_SP////63 )//PAD//punct//63       //_SP////65 )//PAD//punct//65      //_SP////67 6//RG|NOM//nummod//79 )//PAD//punct//69 ://MID//punct//69
3 PlUNQLQJ / %ULVW L +\UHVOlJHQKHW;                //_SP////71 (//PAD//punct//69           //_SP////73 )//PAD//punct//69       //_SP////75 )//PAD//punct//69      //_SP////77 6//RG|NOM//nummod//11

3 PlUNQLQJ / 1nJUD EHJUHSS;0LOM|LQYHQWHULQJ//RG|NOM//ROOT//0
3 PlUNQLQJ / 1nJUD EHJUHSS;0LOM|GHNODUDWLRQ//RG|NOM//ROOT//0
3 PlUNQLQJ / 1nJUD EHJUHSS;0LOM|YlUGHULQJ//RG|NOM//ROOT//0
3 PlUNQLQJ / 1nJUD EHJUHSS;0LOM|PlUNQLQJ//RG|NOM//ROOT//0
3 PlUNQLQJ / 1nJUD EHJUHSS;"@@@//MID//advmod//2        //_SP////0 #//PM|NOM//nmod//4        //_SP////2 3//RG|NOM//nummod//7    //_SP////4 ,//MID//punct//4 <//MID//nmod//8 <//MID//nmod//10 <//MID//nmod//10 3///AB|AN//ROOT//10 ""//PAD//punct//10 &//KN|AN//nmod//10 ,//MID//punct//12 <//MID//nmod//15 <//MID//nummod//10"
3 PlUNQLQJ / 1nJUD EHJUHSS;0LOM|OHGQLQJVV\VWHP//RG|NOM//ROOT//0
3 PlUNQLQJ / 1nJUD EHJUHSS;&//KN|AN//cc//3 HUWLILHULQJ//NN|UTR|SIN|DEF|NOM//nmod//3 RFK//PM|NOM//nmod//3 DFNUHGLWHULQJ//PC|PRF|UTR|SIN|IND|NOM//ROOT//3
3 PlUNQLQJ / 1nJUD EHJUHSS;)//PAD//ROOT//0 )//PAD//punct//0       //_SP////1 %//NN|AN//dep//1                  //_SP////3 )//PAD//punct//3
3 PlUNQLQJ / 1nJUD EHJUHSS;@@@//RG|NOM//ROOT//0
3 PlUNQLQJ / 1nJUD EHJUHSS;"""//PAD//punct//1 &//KN|AN//ROOT//1   //_SP////1 <//MID//case//4 <//MID//obl//1 =//MID//punct//1 *//MID//punct//1 )//PAD//punct//1"

