Sammanfattning;Utbetalningar//NN|UTR|PLU|IND|NOM//nsubj//6 från//PP//case//2 välfärdssystemen//NN|NEU|PLU|DEF|NOM//nmod//0 är//VB|PRS|AKT//cop//6 en//DT|UTR|SIN|IND//det//6 viktig//JJ|POS|UTR|SIN|IND|NOM//amod//6 samhällsfunktion//NN|UTR|SIN|IND|NOM//ROOT//6 och//KN//cc//8 utgör//VB|PRS|AKT//conj//6 en//DT|UTR|SIN|IND//det//11 stor//JJ|POS|UTR|SIN|IND|NOM//amod//11 del//NN|UTR|SIN|IND|NOM//obj//8 av//PP//case//15 de//DT|UTR/NEU|PLU|DEF//det//15 offentliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//15 finanserna//NN|UTR|PLU|DEF|NOM//nmod//11 .//MAD//punct//6
Tydliga skrivningar i instruktioner men splittrad styrning i regleringsbrev och svåröverblickbar återrapportering i årsredovisningarna;Myndigheternas//NN|UTR|PLU|DEF|GEN//nmod:poss//1 återrapportering//NN|UTR|SIN|IND|NOM//nsubj//5 i//PP//case//3 årsredovisningarna//NN|UTR|PLU|DEF|NOM//nmod//1 är//VB|PRS|AKT//cop//5 utspridd//PC|PRF|UTR|SIN|IND|NOM//ROOT//5 och//KN//cc//7 svåröverblickbar//JJ|POS|UTR|SIN|IND|NOM//conj//5 och//KN//cc//9 ger//VB|PRS|AKT//conj//5 inte//AB//advmod//9 någon//DT|UTR|SIN|IND//det//13 heltäckande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//13 bild//NN|UTR|SIN|IND|NOM//obj//9 av//PP//case//16 det//DT|NEU|SIN|DEF//det//16 arbete//NN|NEU|SIN|IND|NOM//nmod//13 som//HP|-|-|-//obj//19 myndigheterna//NN|UTR|PLU|DEF|NOM//nsubj//19 bedriver//VB|PRS|AKT//acl:relcl//16 och//KN//cc//25 vilka//HD|UTR/NEU|PLU|IND//det//22 resultat//NN|NEU|PLU|IND|NOM//obj//25 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//25 har//VB|PRS|AKT//aux//25 lett//VB|SUP|AKT//conj//5 till//PP//compound:prt//25 .//MAD//punct//5
Tydliga skrivningar i instruktioner men splittrad styrning i regleringsbrev och svåröverblickbar återrapportering i årsredovisningarna;Återrapportering//NN|UTR|SIN|IND|NOM//parataxis//5 av//PP//case//30 arbetet//NN|NEU|SIN|DEF|NOM//nmod//28 med//PP//mark//33 att//IE//mark//33 motverka//VB|INF|AKT//acl//28 felaktiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//35 utbetalningar//NN|UTR|PLU|IND|NOM//obj//33 och//KN//cc//37 bidragsbrott//NN|NEU|PLU|IND|NOM//conj//35 bör//VB|PRS|AKT//aux//39 ske//VB|INF|AKT//conj//5 på//PP//case//43 ett//DT|NEU|SIN|IND//det//43 mer//AB|KOM//advmod//43 enhetligt//JJ|POS|NEU|SIN|IND|NOM//obl//39 ,//MID//punct//45 samlat//PC|PRF|NEU|SIN|IND|NOM//conj//5 och//KN//cc//47 strukturerat//PC|PRF|NEU|SIN|IND|NOM//conj//45 sätt//NN|NEU|SIN|IND|NOM//obj//45 i//PP//case//51 myndigheternas//NN|UTR|PLU|DEF|GEN//nmod:poss//51 årsredovisningar//NN|UTR|PLU|IND|NOM//obl//45 .//MAD//punct//5

Myndigheterna utför ett omfattande arbete men det saknas ett övergripande myndighetsperspektiv;Kartläggningen//NN|UTR|SIN|DEF|NOM//nsubj//1 visar//VB|PRS|AKT//ROOT//1 att//SN//mark//4 myndigheterna//NN|UTR|PLU|DEF|NOM//nsubj//4 lägger//VB|PRS|AKT//ccomp//1 ned//PL//compound:prt//4 betydande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//7 tid//NN|UTR|SIN|IND|NOM//obj//4 och//KN//cc//9 resurser//NN|UTR|PLU|IND|NOM//conj//7 på//PP//case//11 arbetet//NN|NEU|SIN|DEF|NOM//nmod//9 med//PP//mark//14 att//IE//mark//14 motverka//VB|INF|AKT//advcl//4 felaktiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//16 utbetalningar//NN|UTR|PLU|IND|NOM//obj//14 .//MID//punct//1
Myndigheterna utför ett omfattande arbete men det saknas ett övergripande myndighetsperspektiv;Alla//DT|UTR/NEU|PLU|IND/DEF//det//19 myndigheter//NN|UTR|PLU|IND|NOM//nsubj//20 har//VB|PRS|AKT//parataxis//1 med//PP//case//22 uppgiften//NN|UTR|SIN|DEF|NOM//obl//20 om//PP//mark//25 att//IE//mark//25 motverka//VB|INF|AKT//advcl//20 felaktiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//27 utbetalningar//NN|UTR|PLU|IND|NOM//obj//25 och//KN//cc//29 bidragsbrott//NN|NEU|PLU|IND|NOM//conj//27 i//PP//case//32 sin//PS|UTR|SIN|DEF//nmod:poss//32 styrning//NN|UTR|SIN|IND|NOM//obl//25 .//MAD//punct//20
Myndigheterna utför ett omfattande arbete men det saknas ett övergripande myndighetsperspektiv;Fyra//RG|NOM//nsubj//40 av//PP//case//39 de//DT|UTR/NEU|PLU|DEF//det//39 fem//RG|NOM//nummod//39 utbetalande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//39 myndigheterna//NN|UTR|PLU|DEF|NOM//nmod//34 har//VB|PRS|AKT//conj//1 integrerat//VB|SUP|AKT//amod//42 perspektivet//NN|NEU|SIN|DEF|NOM//obj//40 i//PP//case//48 sin//PS|UTR|SIN|DEF//nmod:poss//48 långsiktiga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//48 och//KN//cc//47 kortsiktiga//JJ|POS|UTR/NEU|SIN|DEF|NOM//conj//45 styrning//NN|UTR|SIN|IND|NOM//obl//40 .//MAD//punct//40
Myndigheterna utför ett omfattande arbete men det saknas ett övergripande myndighetsperspektiv;Migrationsverket//NN|NEU|SIN|DEF|NOM//nsubj//53 har//VB|PRS|AKT//aux//53 inte//AB//advmod//53 integrerat//VB|SUP|AKT//conj//40 perspektivet//NN|NEU|SIN|DEF|NOM//obj//53 på//PP//case//57 samma//DT|UTR/NEU|SIN/PLU|IND//det//57 sätt//NN|NEU|SIN|IND|NOM//obl//53 men//KN//cc//59 hänvisar//VB|PRS|AKT//conj//40 till//PP//case//62 sin//PS|UTR|SIN|DEF//nmod:poss//62 uppgift//NN|UTR|SIN|IND|NOM//obl//59 i//PP//case//64 instruktionen//NN|UTR|SIN|DEF|NOM//nmod//62 i//PP//case//66 rapporteringsmallar//NN|UTR|PLU|IND|NOM//obl//59 .//MAD//punct//40
Myndigheterna utför ett omfattande arbete men det saknas ett övergripande myndighetsperspektiv;Arbetet//NN|NEU|SIN|DEF|NOM//nsubj//12 med//PP//mark//3 att//IE//mark//3 säkerställa//VB|INF|AKT//acl//0 korrekta//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//5 utbetalningar//NN|UTR|PLU|IND|NOM//obj//3 och//KN//cc//7 motverka//VB|INF|AKT//conj//3 bidragsbrott//NN|NEU|SIN|IND|NOM//obj//7 är//VB|PRS|AKT//cop//12 en//DT|UTR|SIN|IND//det//12 bred//JJ|POS|UTR|SIN|IND|NOM//amod//12 uppgift//NN|UTR|SIN|IND|NOM//ROOT//12 och//KN//cc//14 berör//VB|PRS|AKT//conj//12 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//17 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//17 delar//NN|UTR|PLU|IND|NOM//obj//14 av//PP//case//20 myndigheternas//NN|UTR|PLU|DEF|GEN//nmod:poss//20 verksamheter//NN|UTR|PLU|IND|NOM//nmod//17 .//MAD//punct//12
Myndigheterna utför ett omfattande arbete men det saknas ett övergripande myndighetsperspektiv;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//23 handlar//VB|PRS|AKT//parataxis//12 exempelvis//AB//advmod//23 om//PP//mark//28 hur//HA//advmod//28 myndigheterna//NN|UTR|PLU|DEF|NOM//nsubj//28 arbetar//VB|PRS|AKT//advcl//23 med//PP//mark//31 att//IE//mark//31 följa//VB|INF|AKT//advcl//28 upp//PL//compound:prt//31 och//KN//cc//34 utveckla//VB|INF|AKT//conj//31 kvalitet//NN|UTR|SIN|IND|NOM//obj//34 ,//MID//punct//37 arbetet//NN|NEU|SIN|DEF|NOM//conj//35 inom//PP//case//42 ramen//NN|UTR|SIN|DEF|NOM//fixed//38 för//PP//fixed//38 intern//JJ|POS|UTR|SIN|IND|NOM//amod//42 styrning//NN|UTR|SIN|IND|NOM//nmod//37 och//KN//cc//44 kontroll//NN|UTR|SIN|IND|NOM//conj//42 samt//KN//cc//48 hur//HA//advmod//48 myndigheterna//NN|UTR|PLU|DEF|NOM//nsubj//48 arbetar//VB|PRS|AKT//conj//28 med//PP//case//51 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//51 former//NN|UTR|PLU|IND|NOM//obl//48 av//PP//case//53 riskanalyser//NN|UTR|PLU|IND|NOM//nmod//51 ,//MID//punct//55 kontroller//NN|UTR|PLU|IND|NOM//conj//53 och//KN//cc//57 stöd//NN|NEU|SIN|IND|NOM//conj//53 i//PP//case//59 handläggningen//NN|UTR|SIN|DEF|NOM//nmod//53 .//MAD//punct//23
Myndigheterna utför ett omfattande arbete men det saknas ett övergripande myndighetsperspektiv;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//63 är//VB|PRS|AKT//cop//63 viktigt//JJ|POS|NEU|SIN|IND|NOM//conj//23 att//SN//mark//66 myndigheterna//NN|UTR|PLU|DEF|NOM//nsubj//66 har//VB|PRS|AKT//csubj//63 rätt//JJ|POS|UTR/NEU|SIN/PLU|IND|NOM//amod//68 förutsättningar//NN|UTR|PLU|IND|NOM//obj//66 när//HA//case//72 det//PN|NEU|SIN|DEF|SUB/OBJ//fixed//69 gäller//VB|PRS|AKT//fixed//69 regelverk//NN|NEU|SIN|IND|NOM//obl//66 och//KN//cc//74 teknik//NN|UTR|SIN|IND|NOM//conj//72 samt//KN//cc//78 att//SN//mark//78 beslutsunderlagen//NN|NEU|PLU|DEF|NOM//nsubj//78 håller//VB|PRS|AKT//conj//66 en//DT|UTR|SIN|IND//det//81 hög//JJ|POS|UTR|SIN|IND|NOM//amod//81 kvalitet//NN|UTR|SIN|IND|NOM//obj//78 .//MAD//punct//63
Myndigheterna utför ett omfattande arbete men det saknas ett övergripande myndighetsperspektiv;I//PP//case//84 kartläggningen//NN|UTR|SIN|DEF|NOM//obl//85 framkommer//VB|PRS|AKT//conj//63 att//SN//mark//96 ansvaret//NN|NEU|SIN|DEF|NOM//nsubj//96 för//PP//case//89 arbetet//NN|NEU|SIN|DEF|NOM//nmod//87 med//PP//mark//92 att//IE//mark//92 motverka//VB|INF|AKT//acl//87 felaktiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//94 utbetalningar//NN|UTR|PLU|IND|NOM//obj//92 är//VB|PRS|AKT//cop//96 splittrat//PC|PRF|NEU|SIN|IND|NOM//ccomp//85 på//PP//case//98 myndigheterna//NN|UTR|PLU|DEF|NOM//obl//96 .//MAD//punct//63
Myndigheterna utför ett omfattande arbete men det saknas ett övergripande myndighetsperspektiv;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//1 saknas//VB|PRS|SFO//ROOT//1 en//DT|UTR|SIN|IND//det//4 tydlig//JJ|POS|UTR|SIN|IND|NOM//amod//4 bild//NN|UTR|SIN|IND|NOM//nsubj:pass//1 av//PP//mark//8 vad//HP|NEU|SIN|IND//dislocated//8 som//HP|-|-|-//nsubj:pass//8 innefattas//VB|PRS|SFO//acl//4 i//PP//case//10 arbetet//NN|NEU|SIN|DEF|NOM//obl//8 med//PP//mark//13 att//IE//mark//13 motverka//VB|INF|AKT//advcl//8 felaktiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//15 utbetalningar//NN|UTR|PLU|IND|NOM//obj//13 och//KN//cc//17 bidragsbrott//NN|NEU|PLU|IND|NOM//conj//15 .//MID//punct//1
Myndigheterna utför ett omfattande arbete men det saknas ett övergripande myndighetsperspektiv;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//20 finns//VB|PRS|SFO//parataxis//1 därför//AB//advmod//20 ett//DT|NEU|SIN|IND//det//23 behov//NN|NEU|SIN|IND|NOM//nsubj//20 av//PP//mark//26 att//IE//mark//26 etablera//VB|INF|AKT//acl//23 perspektivet//NN|NEU|SIN|DEF|NOM//nmod//29 korrekta//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//29 utbetalningar//NN|UTR|PLU|IND|NOM//obj//26 i//PP//case//32 hela//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//32 organisationen//NN|UTR|SIN|DEF|NOM//nmod//29 i//PP//case//34 syfte//NN|NEU|SIN|IND|NOM//nmod//32 att//IE//mark//36 få//VB|INF|AKT//acl//29 en//DT|UTR|SIN|IND//det//38 samsyn//NN|UTR|SIN|IND|NOM//obj//36 om//PP//mark//42 vad//HP|NEU|SIN|IND//obj//42 uppgiften//NN|UTR|SIN|DEF|NOM//nsubj//42 innebär//VB|PRS|AKT//acl//38 ,//MID//punct//46 hur//HA//advmod//46 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//46 påverkar//VB|PRS|AKT//ccomp//42 myndighetens//NN|UTR|SIN|DEF|GEN//nmod:poss//49 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//49 verksamheter//NN|UTR|PLU|IND|NOM//obj//46 och//KN//cc//54 vilka//HD|UTR/NEU|PLU|IND//det//52 prioriteringar//NN|UTR|PLU|IND|NOM//nmod//54 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//54 delar//NN|UTR|PLU|IND|NOM//nsubj//58 av//PP//case//56 organisationen//NN|UTR|SIN|DEF|NOM//nmod//54 bör//VB|PRS|AKT//aux//58 göra//VB|INF|AKT//advcl//46 .//MAD//punct//20
Myndigheterna utför ett omfattande arbete men det saknas ett övergripande myndighetsperspektiv;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//61 finns//VB|PRS|SFO//parataxis//20 också//AB//advmod//61 ett//DT|NEU|SIN|IND//det//64 behov//NN|NEU|SIN|IND|NOM//nsubj//61 av//PP//case//68 ett//DT|NEU|SIN|IND//det//68 myndighetsövergripande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//68 ansvar//NN|NEU|SIN|IND|NOM//nmod//64 för//PP//case//70 frågan//NN|UTR|SIN|DEF|NOM//nmod//68 .//MAD//punct//61
Myndigheterna utför ett omfattande arbete men det saknas ett övergripande myndighetsperspektiv;Idag//AB//advmod//73 görs//VB|PRS|SFO//conj//20 till//PP//advmod//76 exempel//NN|NEU|SIN|IND|NOM//fixed//74 få//VB|INF|AKT//advcl//73 myndighetsövergripande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//78 riskanalyser//NN|UTR|PLU|IND|NOM//obj//76 för//PP//case//81 felaktiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//81 utbetalningar//NN|UTR|PLU|IND|NOM//obl//76 .//MAD//punct//20
Myndigheterna utför ett omfattande arbete men det saknas ett övergripande myndighetsperspektiv;Ett//DT|NEU|SIN|IND//det//86 tydligare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//86 övergripande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//86 ansvar//NN|NEU|SIN|IND|NOM//nsubj//91 på//PP//case//88 myndigheterna//NN|UTR|PLU|DEF|NOM//nmod//86 skulle//VB|PRT|AKT//aux//91 kunna//VB|INF|AKT//aux//91 öka//VB|INF|AKT//parataxis//20 möjligheterna//NN|UTR|PLU|DEF|NOM//obj//91 till//PP//case//97 ett//DT|NEU|SIN|IND//det//97 långsiktigt//JJ|POS|NEU|SIN|IND|NOM//advmod//96 strategiskt//JJ|POS|NEU|SIN|IND|NOM//amod//97 arbete//NN|NEU|SIN|IND|NOM//nmod//92 som//HP|-|-|-//nsubj//100 även//AB//advmod//100 inkluderar//VB|PRS|AKT//acl:relcl//97 samverkan//NN|UTR|SIN|IND|NOM//obj//100 mellan//PP//case//103 myndigheter//NN|UTR|PLU|IND|NOM//nmod//101 på//PP//case//106 detta//DT|NEU|SIN|DEF//det//106 område//NN|NEU|SIN|IND|NOM//obl//100 .//MAD//punct//20

Det saknas ett välfärdssystemsperspektiv;Att//SN//mark//12 hanteringen//NN|UTR|SIN|DEF|NOM//nsubj//12 av//PP//case//3 arbetet//NN|NEU|SIN|DEF|NOM//nmod//1 med//PP//mark//6 att//IE//mark//6 säkerställa//VB|INF|AKT//acl//1 korrekta//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//8 utbetalningar//NN|UTR|PLU|IND|NOM//obj//6 och//KN//cc//10 motverka//VB|INF|AKT//conj//6 bidragsbrott//NN|NEU|PLU|IND|NOM//obj//10 involverar//VB|PRS|AKT//advcl//20 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//15 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//15 myndigheter//NN|UTR|PLU|IND|NOM//obj//12 ,//MID//punct//17 departement//NN|NEU|PLU|IND|NOM//conj//15 och//KN//cc//19 riksdagsutskott//NN|NEU|PLU|IND|NOM//conj//15 ställer//VB|PRS|AKT//ROOT//20 stora//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//22 krav//NN|NEU|PLU|IND|NOM//obj//20 på//PP//case//24 samordning//NN|UTR|SIN|IND|NOM//obl//20 och//KN//cc//26 tydlighet//NN|UTR|SIN|IND|NOM//conj//24 .//MID//punct//20
Det saknas ett välfärdssystemsperspektiv;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//30 är//VB|PRS|AKT//cop//30 svårt//JJ|POS|NEU|SIN|IND|NOM//parataxis//20 att//IE//mark//32 få//VB|INF|AKT//csubj//30 en//DT|UTR|SIN|IND//det//34 helhetsbild//NN|UTR|SIN|IND|NOM//obj//32 av//PP//mark//38 vad//HP|NEU|SIN|IND//dislocated//38 som//HP|-|-|-//nsubj:pass//38 görs//VB|PRS|SFO//advcl//32 för//PP//mark//41 att//IE//mark//41 motverka//VB|INF|AKT//advcl//38 felaktiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//43 utbetalningar//NN|UTR|PLU|IND|NOM//obj//41 och//KN//cc//45 bidragsbrott//NN|NEU|PLU|IND|NOM//conj//43 och//KN//cc//48 hur//HA//advmod//48 stort//JJ|POS|NEU|SIN|IND|NOM//amod//49 problemet//NN|NEU|SIN|DEF|NOM//obl//41 är//VB|PRS|AKT//advmod//20 .//MAD//punct//20
Det saknas ett välfärdssystemsperspektiv;I//PP//case//1 kartläggningen//NN|UTR|SIN|DEF|NOM//obl//2 framkommer//VB|PRS|AKT//ROOT//2 att//SN//mark//7 den//DT|UTR|SIN|DEF//det//6 övergripande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//6 styrningen//NN|UTR|SIN|DEF|NOM//nsubj//7 utgår//VB|PRS|AKT//ccomp//2 från//PP//case//11 enskilda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//10 myndigheters//NN|UTR|PLU|IND|GEN//nmod:poss//11 verksamheter//NN|UTR|PLU|IND|NOM//obl//7 .//MAD//punct//2
Det saknas ett välfärdssystemsperspektiv;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//14 saknas//VB|PRS|SFO//parataxis//2 därmed//AB//advmod//14 ett//DT|NEU|SIN|IND//det//17 välfärdssystemperspektiv//NN|NEU|SIN|IND|NOM//nsubj:pass//14 på//PP//case//19 arbetet//NN|NEU|SIN|DEF|NOM//nmod//17 med//PP//mark//22 att//IE//mark//22 säkerställa//VB|INF|AKT//advcl//14 korrekta//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//24 utbetalningar//NN|UTR|PLU|IND|NOM//obj//22 och//KN//cc//26 motverka//VB|INF|AKT//conj//22 bidragsbrott//NN|NEU|PLU|IND|NOM//obj//26 .//MAD//punct//2
Det saknas ett välfärdssystemsperspektiv;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//30 saknas//VB|PRS|SFO//parataxis//2 också//AB//advmod//30 ett//DT|NEU|SIN|IND//det//35 tydligt//AB|POS//advmod//34 övergripande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//35 ansvar//NN|NEU|SIN|IND|NOM//nsubj:pass//30 för//PP//case//37 frågan//NN|UTR|SIN|DEF|NOM//nmod//35 .//MAD//punct//30
Det saknas ett välfärdssystemsperspektiv;Vi//PN|UTR|PLU|DEF|SUB//nsubj//40 anser//VB|PRS|AKT//parataxis//30 därför//AB//mark//45 att//SN//fixed//41 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//45 behöver//VB|PRS|AKT//aux//45 inrättas//VB|INF|SFO//advcl//40 en//DT|UTR|SIN|IND//det//47 funktion//NN|UTR|SIN|IND|NOM//obj//45 med//PP//case//52 ett//DT|NEU|SIN|IND//det//52 tydlig//JJ|POS|UTR|SIN|IND|NOM//amod//52 samlat//PC|PRF|NEU|SIN|IND|NOM//amod//52 ansvar//NN|NEU|SIN|IND|NOM//obl//45 för//PP//case//54 frågan//NN|UTR|SIN|DEF|NOM//nmod//52 .//MAD//punct//40
Det saknas ett välfärdssystemsperspektiv;Vi//PN|UTR|PLU|DEF|SUB//nsubj//57 kommer//VB|PRS|AKT//parataxis//40 i//PP//case//60 vårt//PS|NEU|SIN|DEF//nmod:poss//60 betänkande//NN|NEU|SIN|IND|NOM//obl//57 att//IE//mark//62 presentera//VB|INF|AKT//advcl//57 mer//AB|KOM//advmod//64 detaljerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//65 förslag//NN|NEU|PLU|IND|NOM//obj//62 på//PP//case//68 detta//DT|NEU|SIN|DEF//det//68 område//NN|NEU|SIN|IND|NOM//obl//62 som//HP|-|-|-//nsubj//70 syftar//VB|PRS|AKT//acl:relcl//68 till//PP//mark//73 att//IE//mark//73 förbättra//VB|INF|AKT//advcl//70 möjligheterna//NN|UTR|PLU|DEF|NOM//obj//73 att//IE//mark//76 motverka//VB|INF|AKT//acl//74 felaktiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//78 utbetalningar//NN|UTR|PLU|IND|NOM//obj//76 och//KN//cc//80 bidragsbrott//NN|NEU|PLU|IND|NOM//conj//78 .//MAD//punct//2

