5. En välfärdsstat för alla? Frontlinjebyråkrater och invandrarklienter ;Isabell//PM|NOM//ROOT//0 Schierenbeck//PM|NOM//flat//0
5. En välfärdsstat för alla? Frontlinjebyråkrater och invandrarklienter  / Handlingsutrymmet som utgångspunkt;"Lipsky//PM|NOM//conj//39 1980:15//RG|NOM//punct//62 ;//MID//punct//62"
5. En välfärdsstat för alla? Frontlinjebyråkrater och invandrarklienter  / Handlingsutrymmet som utgångspunkt;Rothstein//PM|NOM//conj//62 1994:98//RG|NOM//punct//62 )//PAD//punct//62 .//MAD//punct//39
5. En välfärdsstat för alla? Frontlinjebyråkrater och invandrarklienter  / Handlingsutrymmet som utgångspunkt;I//PP//case//70 realiteten//NN|UTR|SIN|DEF|NOM//obl//71 innebär//VB|PRS|AKT//conj//4 situationen//NN|UTR|SIN|DEF|NOM//nsubj//71 att//SN//mark//75 frontlinjebyråkraterna//NN|UTR|PLU|DEF|NOM//nsubj//75 har//VB|PRS|AKT//ccomp//71 relativt//AB|POS//advmod//77 stor//JJ|POS|UTR|SIN|IND|NOM//amod//78 frihet//NN|UTR|SIN|IND|NOM//obj//75 att//IE//mark//81 fortlöpande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//81 utforma//VB|INF|AKT//acl//78 de//DT|UTR/NEU|PLU|DEF//det//83 beslut//NN|NEU|PLU|IND|NOM//obj//81 som//HP|-|-|-//nsubj//85 påverkar//VB|PRS|AKT//acl:relcl//83 enskilda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//87 samhällsmedborgares//NN|UTR|PLU|IND|GEN//nmod:poss//88 vardag//NN|UTR|SIN|IND|NOM//obj//85 och//KN//cc//90 levnads-//NN|NEU|-|-|SMS//conj//88
5. En välfärdsstat för alla? Frontlinjebyråkrater och invandrarklienter  / Handlingsutrymmet som utgångspunkt;Kapitel//NN|NEU|SIN|IND|NOM//nmod//1 5//RG|NOM//discourse//3 En//DT|UTR|SIN|IND//det//3 välfärdsstat//NN|UTR|SIN|IND|NOM//ROOT//3 för//PP//case//5 alla//PN|UTR/NEU|PLU|IND|SUB/OBJ//nmod//3 ?//MID//punct//3
5. En välfärdsstat för alla? Frontlinjebyråkrater och invandrarklienter  / Handlingsutrymmet som utgångspunkt;"förhållanden//NN|NEU|PLU|IND|NOM//appos//3 (//PAD//punct//7 Brodkin//PM|NOM//appos//7 1997:3//RG|NOM//nummod//9 ;//MID//punct//7"
5. En välfärdsstat för alla? Frontlinjebyråkrater och invandrarklienter  / Handlingsutrymmet som utgångspunkt;"Eriksen//PM|NOM//nsubj//13 2001:41–44//RG|NOM//conj//3 ;//MID//punct//13"
5. En välfärdsstat för alla? Frontlinjebyråkrater och invandrarklienter  / Handlingsutrymmet som utgångspunkt;"Lipsky//PM|NOM//parataxis//13 1980:8//RG|NOM//flat//15 ;//MID//punct//15"
5. En välfärdsstat för alla? Frontlinjebyråkrater och invandrarklienter  / Handlingsutrymmet som utgångspunkt;Sainsbury//PM|NOM//nmod//19 1992:295//RG|NOM//conj//15 )//PAD//punct//19 .//MAD//punct//3
5. En välfärdsstat för alla? Frontlinjebyråkrater och invandrarklienter  / Handlingsutrymmet som utgångspunkt;En//DT|UTR|SIN|IND//det//1 problematisering//NN|UTR|SIN|IND|NOM//nsubj//13 av//PP//case//3 handlingsutrymmet//NN|NEU|SIN|DEF|NOM//nmod//1 och//KN//cc//6 dess//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//6 position//NN|UTR|SIN|IND|NOM//conj//3 inom//PP//case//10 den//DT|UTR|SIN|DEF//det//10 situationsanpassade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//10 myndighetsutövningen//NN|UTR|SIN|DEF|NOM//nmod//6 är//VB|PRS|AKT//cop//13 idag//AB//advmod//13 viktigare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//ROOT//13 än//KN//mark//15 någonsin//AB//advmod//13 .//MAD//punct//13
5. En välfärdsstat för alla? Frontlinjebyråkrater och invandrarklienter  / Handlingsutrymmet som utgångspunkt;För//PP//case//19 det//DT|NEU|SIN|DEF//det//19 första//RO|NOM//obl//30 har//VB|PRS|AKT//aux//30 den//DT|UTR|SIN|DEF//det//23 ökade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//23 mål-//NN|NEU|-|-|SMS//nsubj//30 och//KN//cc//25 resultatstyrningen//NN|UTR|SIN|DEF|NOM//conj//23 inom//PP//case//28 offentlig//JJ|POS|UTR|SIN|IND|NOM//amod//28 förvaltning//NN|UTR|SIN|IND|NOM//nmod//25 allmänt//AB|POS//advmod//30 inneburit//VB|SUP|AKT//conj//13 ett//DT|NEU|SIN|IND//det//33 ökat//PC|PRF|NEU|SIN|IND|NOM//amod//33 handlingsutrymme//NN|NEU|SIN|IND|NOM//obj//30 även//AB//advmod//38 på//PP//case//38 de//DT|UTR/NEU|PLU|DEF//det//38 lägre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//38 nivåerna//NN|UTR|PLU|DEF|NOM//obl//30 inom//PP//case//40 förvaltningen//NN|UTR|SIN|DEF|NOM//nmod//38 .//MAD//punct//13
