6PnI|UHWDJVGHOHJDWLRQHQ;Rapport//NN|UTR|SIN|IND|NOM//ROOT//0 2//RG|NOM//nummod//0
3.4 Arbetssätt;För//PP//mark//56 att//IE//mark//56 underlätta//VB|INF|AKT//advcl//60 arbetet//NN|NEU|SIN|DEF|NOM//obj//56 bör//VB|PRS|AKT//aux//60 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//60 finnas//VB|INF|SFO//amod//61 riktlinjer//NN|UTR|PLU|IND|NOM//obl//13 och//KN//cc//64 grundläggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//64 budskap//NN|NEU|PLU|IND|NOM//conj//61 som//HP|-|-|-//nsubj//67 skall//VB|PRS|AKT//aux//67 fungera//VB|INF|AKT//acl:relcl//64 som//KN//case//69 vägledning//NN|UTR|SIN|IND|NOM//obl//67 i//PP//case//71 informationsarbetet//NN|NEU|SIN|DEF|NOM//obl//67 –//RG|NOM//punct//73 centralt//JJ|POS|NEU|SIN|IND|NOM//appos//71 ,//MID//punct//75 regionalt//JJ|POS|NEU|SIN|IND|NOM//conj//73 och//KN//cc//77 lokalt//AB|POS//conj//73 .//MAD//punct//3
3.4 Arbetssätt;I//PP//case//2 detta//DT|NEU|SIN|DEF//det//2 arbete//NN|NEU|SIN|IND|NOM//obl//5 har//VB|PRS|AKT//aux//5 vi//PN|UTR|PLU|DEF|SUB//nsubj//5 utgått//VB|SUP|AKT//ROOT//5 ifrån//PP//mark//11 att//IE//mark//11 i//PP//advmod//11 första//RO|NOM//fixed//8 hand//NN|UTR|SIN|IND|NOM//fixed//8 använda//VB|INF|AKT//advcl//5 befintlig//JJ|POS|UTR|SIN|IND|NOM//amod//13 information//NN|UTR|SIN|IND|NOM//obj//11 och//KN//cc//16 tillgängliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//16 kanaler//NN|UTR|PLU|IND|NOM//conj//13 för//PP//mark//19 att//IE//mark//19 kommunicera//VB|INF|AKT//advcl//11 beslut//NN|NEU|PLU|IND|NOM//obj//19 som//KN//obj//25 regering//NN|UTR|SIN|IND|NOM//nsubj//25 och//KN//cc//24 riksdag//NN|UTR|SIN|IND|NOM//conj//22 fattar//VB|PRS|AKT//acl:relcl//20 som//HP|-|-|-//nsubj//28 är//VB|PRS|AKT//cop//28 viktiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//ccomp//25 för//PP//case//30 företagandet//NN|NEU|SIN|DEF|NOM//nmod//28 .//MID//punct//5
3.4 Arbetssätt;Dessa//DT|UTR/NEU|PLU|DEF//det//33 kanaler//NN|UTR|PLU|IND|NOM//nsubj//44 är//VB|PRS|AKT//cop//44 ://MID//punct//44
3.4 Arbetssätt;centrala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//39 och//KN//cc//38 regionala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//36 myndigheter//NN|UTR|PLU|IND|NOM//nmod//44 centrala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//44 och//KN//cc//42 regionala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//44 statliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//44 bolag//NN|NEU|PLU|IND|NOM//parataxis//5 (//PAD//punct//44 t.ex.//AB|AN//advmod//47 ALMI//PM|NOM//appos//44 )//PAD//punct//47 universitet//NN|NEU|PLU|IND|NOM//conj//44 och//KN//cc//51 högskolor//NN|UTR|PLU|IND|NOM//conj//49 kommuner//NN|UTR|PLU|IND|NOM//conj//49 och//KN//cc//54 landsting//NN|NEU|PLU|IND|NOM//conj//52 näringslivsorganisationer//NN|UTR|PLU|IND|NOM//conj//52 banker//NN|UTR|PLU|IND|NOM//conj//52 och//KN//cc//59 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//59 kreditinstitut//NN|NEU|PLU|IND|NOM//conj//56
3.4 Arbetssätt;En//DT|UTR|SIN|IND//det//2 övergripande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//2 nulägesinventering//NN|UTR|SIN|IND|NOM//nsubj:pass//7 av//PP//case//5 ovanstående//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//5 aktörer//NN|UTR|PLU|IND|NOM//nmod//2 har//VB|PRS|AKT//aux//7 genomförts//VB|SUP|SFO//ROOT//7 .//MAD//punct//7
3.4 Arbetssätt;Av//PP//case//10 denna//PN|UTR|SIN|DEF|SUB/OBJ//obl//11 framgår//VB|PRS|AKT//parataxis//7 hur//HA//advmod//20 kommunikationsprocessen//NN|UTR|SIN|DEF|NOM//nsubj//20 mellan//PP//case//17 de//DT|UTR/NEU|PLU|DEF//det//17 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//17 aktörerna//NN|UTR|PLU|DEF|NOM//nmod//13 är//VB|PRS|AKT//cop//20 i//PP//case//20 dagsläget//NN|NEU|SIN|DEF|NOM//nsubj//11 och//KN//cc//26 på//PP//case//24 vilket//HD|NEU|SIN|IND//det//24 sätt//NN|NEU|SIN|IND|NOM//obl//26 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//26 kan//VB|PRS|AKT//conj//11 och//KN//cc//29 bör//VB|PRS|AKT//aux//29 förbättras//VB|INF|SFO//conj//26 inför//PP//case//31 framtiden//NN|UTR|SIN|DEF|NOM//obl//29 .//MAD//punct//11
3.4 Arbetssätt;Särskild//PC|PRF|UTR|SIN|IND|NOM//amod//34 vikt//NN|UTR|SIN|IND|NOM//nsubj:pass//36 har//VB|PRS|AKT//aux//36 lagts//VB|SUP|SFO//parataxis//11 vid//PP//mark//41 hur//HA//advmod//39 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//40 budskap//NN|NEU|PLU|IND|NOM//nsubj:pass//41 sprids//VB|PRS|SFO//advcl//36 till//PP//case//45 de//DT|UTR/NEU|PLU|DEF//det//45 mindre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//45 företagen//NN|NEU|PLU|DEF|NOM//obl//41 .//MAD//punct//7
3.4 Arbetssätt;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//1 gäller//VB|PRS|AKT//ROOT//1 såväl//KN//amod//3 information//NN|UTR|SIN|IND|NOM//obj//1 om//PP//case//6 företagandets//NN|NEU|SIN|DEF|GEN//nmod:poss//6 spelregler//NN|UTR|PLU|IND|NOM//nmod//3 i//PP//case//10 allmänhet//NN|UTR|SIN|IND|NOM//fixed//7 som//KN//fixed//7 information//NN|UTR|SIN|IND|NOM//obl//1 om//PP//case//14 de//DT|UTR/NEU|PLU|DEF//det//14 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//14 former//NN|UTR|PLU|IND|NOM//nmod//10 av//PP//case//16 stöd//NN|NEU|SIN|IND|NOM//nmod//14 som//HP|-|-|-//nsubj:pass//19 kan//VB|PRS|AKT//aux//19 erbjudas//VB|INF|SFO//acl:relcl//14 .//MAD//punct//1
3.4 Arbetssätt;Speciellt//AB|POS//advmod//2 har//VB|PRS|AKT//aux//2 uppmärksammats//VB|SUP|SFO//ROOT//2 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//4 initiativ//NN|NEU|PLU|IND|NOM//obj//2 som//KN//mark//9 t//NN|NEU|SIN|IND|NOM//nmod//9 ill//PM|NOM//nummod//6 exempel//NN|NEU|SIN|IND|NOM//amod//9 SMElink//PM|NOM//acl//4 ,//MID//punct//11 Startlinjen//PM|NOM//conj//9 ,//MID//punct//13 Tillskottet//NN|NEU|SIN|DEF|NOM//conj//9 och//KN//cc//15 Riksskatteverket//NN|NEU|SIN|DEF|NOM//conj//9 .//MAD//punct//2
3.4 Arbetssätt;Småföretagsdelegationen//NN|UTR|SIN|DEF|NOM//nsubj//3 har//VB|PRS|AKT//aux//3 närmare//AB|KOM//advmod//3 studerat//VB|SUP|AKT//ROOT//3 tre//RG|NOM//nummod//5 län//NN|NEU|PLU|IND|NOM//obj//3 ///MID//cc//7 regioner//NN|UTR|PLU|IND|NOM//conj//5 .//MID//punct//3
3.4 Arbetssätt;Dessa//PN|UTR/NEU|PLU|DEF|SUB/OBJ//nsubj//11 är//VB|PRS|AKT//cop//11 Jönköpings//PM|GEN//conj//3 ,//MID//punct//13 Jämtlands//PM|GEN//conj//11 och//KN//cc//15 Östergötlands//PM|GEN//conj//11 län//NN|NEU|SIN|IND|NOM//conj//11 .//MAD//punct//11
3.4 Arbetssätt;Vi//PN|UTR|PLU|DEF|SUB//nsubj//20 har//VB|PRS|AKT//aux//20 sammanträffat//VB|SUP|AKT//conj//11 med//PP//case//22 företrädare//NN|UTR|PLU|IND|NOM//obl//20 för//PP//case//26 ovan//AB//advmod//25 angivna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//26 målgrupper//NN|UTR|PLU|IND|NOM//nmod//22 i//PP//case//29 respektive//AB//amod//29 län//NN|NEU|SIN|IND|NOM//nmod//26 .//MAD//punct//20
3.4 Arbetssätt;Varje//DT|UTR/NEU|SIN|IND//det//32 länsstyrelse//NN|UTR|SIN|IND|NOM//nsubj//34 har//VB|PRS|AKT//aux//34 utsett//VB|SUP|AKT//conj//20 en//DT|UTR|SIN|IND//det//37 länsansvarig//JJ|POS|UTR|SIN|IND|NOM//amod//37 kontaktperson//NN|UTR|SIN|IND|NOM//obj//34 .//MID//punct//20
3.4 Arbetssätt;Dessa//DT|UTR/NEU|PLU|DEF//det//40 personer//NN|UTR|PLU|IND|NOM//nsubj//45 har//VB|PRS|AKT//aux//45 sedan//AB//advmod//45 varit//VB|SUP|AKT//cop//45 delegationen//NN|UTR|SIN|DEF|NOM//nsubj//45 behjälpliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//parataxis//20 under//PP//case//48 arbetets//NN|NEU|SIN|DEF|GEN//nmod:poss//48 gång//NN|UTR|SIN|IND|NOM//obl//45 .//MAD//punct//3
3.4 Arbetssätt;Våra//PS|UTR/NEU|PLU|DEF//nmod:poss//1 kontakter//NN|UTR|PLU|IND|NOM//nsubj//5 via//PP//case//3 länsstyrelserna//NN|UTR|PLU|DEF|NOM//nmod//1 har//VB|PRS|AKT//aux//5 givit//VB|SUP|AKT//ROOT//5 en//DT|UTR|SIN|IND//det//8 god//JJ|POS|UTR|SIN|IND|NOM//amod//8 bild//NN|UTR|SIN|IND|NOM//obj//5 av//PP//case//11 myndigheternas//NN|UTR|PLU|DEF|GEN//nmod:poss//11 hantering//NN|UTR|SIN|IND|NOM//nmod//8 och//KN//cc//13 uppfattning//NN|UTR|SIN|IND|NOM//conj//11 om//PP//case//15 information//NN|UTR|SIN|IND|NOM//nmod//13 .//MAD//punct//5
3.4 Arbetssätt;Företagen//NN|NEU|PLU|DEF|NOM//nsubj//22 har//VB|PRS|AKT//aux//22 dock//AB//advmod//22 varit//VB|SUP|AKT//cop//22 dåligt//AB|POS//advmod//22 representerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//parataxis//5 vid//PP//case//25 genomförda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//25 informationsmöten//NN|NEU|PLU|IND|NOM//obl//22 ,//MID//punct//29 varför//HA//advmod//29 vi//PN|UTR|PLU|DEF|SUB//nsubj//29 har//VB|PRS|AKT//acl:relcl//25 kompletterat//VB|SUP|AKT//xcomp//29 med//PP//case//34 ytterligare//AB|KOM//advmod//33 två//RG|NOM//nummod//34 undersökningar//NN|UTR|PLU|IND|NOM//obl//29 .//MAD//punct//29
3.4 Arbetssätt;3.4.1//RG|NOM//nmod//38 Kvalitativ//JJ|POS|UTR|SIN|IND|NOM//amod//38 undersökning//NN|UTR|SIN|IND|NOM//parataxis//29
3.4 Arbetssätt;Eureka//PM|NOM//nmod:poss//1 Marknadsfakta//PM|NOM//nsubj//6 har//VB|PRS|AKT//aux//6 på//PP//case//5 Småföretagsdelegationens//NN|UTR|SIN|DEF|GEN//nmod:poss//5 uppdrag//NN|NEU|SIN|IND|NOM//obl//6 genomfört//VB|SUP|AKT//ROOT//6 en//DT|UTR|SIN|IND//det//9 kvalitativ//JJ|POS|UTR|SIN|IND|NOM//amod//9 undersökning//NN|UTR|SIN|IND|NOM//obj//6 .//MAD//punct//6
3.4 Arbetssätt;Syftet//NN|NEU|SIN|DEF|NOM//nsubj//14 med//PP//case//13 undersökningen//NN|UTR|SIN|DEF|NOM//nmod//11 var//VB|PRT|AKT//parataxis//6 att//IE//mark//16 belysa//VB|INF|AKT//advcl//14 småföretagares//NN|UTR|PLU|IND|GEN//nmod:poss//18 synpunkter//NN|UTR|PLU|IND|NOM//obj//16 och//KN//cc//20 idéer//NN|UTR|PLU|IND|NOM//conj//18 avseende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//xcomp//16 de//DT|UTR/NEU|PLU|DEF//det//23 informationsinsatser//NN|UTR|PLU|IND|NOM//obj//21 som//HP|-|-|-//nsubj:pass//25 gjorts//VB|SUP|SFO//acl:relcl//23 .//MAD//punct//14
3.4 Arbetssätt;Totalt//AB|POS//advmod//31 har//VB|PRS|AKT//aux//31 30//RG|NOM//nummod//30 telefonintervjuer//NN|UTR|PLU|IND|NOM//nsubj:pass//31 genomförts//VB|SUP|SFO//parataxis//14 med//PP//case//33 småföretagare//NN|UTR|PLU|IND|NOM//obl//31 i//PP//case//35 Jönköpings//PM|GEN//nmod//33 ,//MID//punct//37 Jämtlands//PM|GEN//conj//35 och//KN//cc//39 Östergötlands//PM|GEN//conj//35 län//NN|NEU|SIN|IND|NOM//conj//35 .//MAD//punct//14
3.4 Arbetssätt;Spridningen//PM|NOM//nsubj//47 på//PP//case//44 storlek//NN|UTR|SIN|IND|NOM//nmod//42 och//KN//cc//46 bransch//NN|UTR|SIN|IND|NOM//conj//44 speglar//VB|PRS|AKT//parataxis//14 i//PP//case//50 stora//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//50 drag//NN|NEU|PLU|IND|NOM//obl//47 den//DT|UTR|SIN|DEF//det//53 verkliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//53 fördelningen//NN|UTR|SIN|DEF|NOM//obj//47 .//MAD//punct//14
3.4 Arbetssätt;Intervjuerna//NN|UTR|PLU|DEF|NOM//nsubj//3 har//VB|PRS|AKT//aux//3 varit//VB|SUP|AKT//cop//3 öppna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//ROOT//3 och//KN//cc//5 följt//VB|SUP|AKT//conj//3 en//DT|UTR|SIN|IND//det//7 frågeguide//NN|UTR|SIN|IND|NOM//obj//5 snarare//AB|KOM//advmod//5 än//KN//case//11 ett//DT|NEU|SIN|IND//det//11 frågeformulär//NN|NEU|SIN|IND|NOM//obl//5 .//MAD//punct//3
3.4 Arbetssätt;Man//PN|UTR|SIN|IND|SUB//nsubj//16 har//VB|PRS|AKT//aux//16 inte//AB//advmod//16 nöjt//VB|SUP|AKT//conj//3 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//16 med//PP//case//20 korta//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//20 svar//NN|NEU|PLU|IND|NOM//obl//16 såsom//KN//mark//25 ja//IN//discourse//25 ,//MID//punct//22 kanske//AB//advmod//25 etc.//AB|AN//acl//20 utan//KN//cc//29 man//PN|UTR|SIN|IND|SUB//nsubj//29 har//VB|PRS|AKT//aux//29 frågat//VB|SUP|AKT//advcl//16 vidare//AB|KOM//advmod//29 för//PP//mark//33 att//IE//mark//33 säkerställa//VB|INF|AKT//advcl//29 att//SN//mark//36 man//PN|UTR|SIN|IND|SUB//nsubj//36 fångat//VB|SUP|AKT//ccomp//33 upp//PL//compound:prt//36 resonemang//NN|NEU|PLU|IND|NOM//obj//36 ,//MID//punct//40 motiv//NN|NEU|PLU|IND|NOM//conj//38 ,//MID//punct//42 erfarenheter//NN|UTR|PLU|IND|NOM//conj//38 ,//MID//punct//44 idéer//NN|UTR|PLU|IND|NOM//conj//38 osv.//AB|AN//punct//36 3.4.2//RG|NOM//compound//47 Skrivelse//NN|UTR|SIN|IND|NOM//obj//36 till//PP//case//50 näringslivets//NN|NEU|SIN|DEF|GEN//nmod:poss//50 organisationer//NN|UTR|PLU|IND|NOM//obl//36
3.4 Arbetssätt;I//PP//case//2 skrivelse//NN|UTR|SIN|IND|NOM//nmod//2 1997-10-21//RG|NOM//obl//7 har//VB|PRS|AKT//aux//7 de//DT|UTR/NEU|PLU|DEF//det//6 centrala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//6 näringslivsorganisationerna//NN|UTR|PLU|DEF|NOM//nsubj:pass//7 erbjudits//VB|SUP|SFO//ROOT//7 möjlighet//NN|UTR|SIN|IND|NOM//nsubj:pass//7 att//IE//mark//10 lämna//VB|INF|AKT//acl//8 synpunkter//NN|UTR|PLU|IND|NOM//obj//10 på//PP//mark//17 hur//HA//advmod//17 kommunikationsprocessen//NN|UTR|SIN|DEF|NOM//nsubj//17 till//PP//case//16 företagen//NN|NEU|PLU|DEF|NOM//nmod//14 fungerar//VB|PRS|AKT//advcl//10 .//MAD//punct//7
3.4 Arbetssätt;Synpunkterna//NN|UTR|PLU|DEF|NOM//nsubj//20 avser//VB|PRS|AKT//parataxis//7 dels//KN//advmod//24 hur//HA//advmod//24 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//24 fungerar//VB|PRS|AKT//ccomp//20 i//PP//case//26 dagsläget//NN|NEU|SIN|DEF|NOM//obl//24 ,//MID//punct//20 dels//KN//advmod//29 förslag//NN|NEU|PLU|IND|NOM//nsubj:pass//7 till//PP//case//31 förbättringar//NN|UTR|PLU|IND|NOM//nmod//29 inför//PP//case//33 framtiden//NN|UTR|SIN|DEF|NOM//nmod//31 avseende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//case//36 företagandets//NN|NEU|SIN|DEF|GEN//nmod:poss//36 spelregler//NN|UTR|PLU|IND|NOM//nmod//33 i//PP//case//40 allmänhet//NN|UTR|SIN|IND|NOM//fixed//37 samt//KN//cc//40 information//NN|UTR|SIN|IND|NOM//nmod//36 om//PP//case//44 de//DT|UTR/NEU|PLU|DEF//det//44 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//44 stöd//NN|NEU|PLU|IND|NOM//nmod//40 som//HP|-|-|-//nsubj:pass//46 erbjuds//VB|PRS|SFO//acl:relcl//44 .//MAD//punct//7

4 Vilken information och vilka kunskaper behöver en företagare?;Arbetet//NN|NEU|SIN|DEF|NOM//nsubj//8 med//PP//mark//3 att//IE//mark//3 planera//VB|INF|AKT//acl//0 företagsstarten//NN|UTR|SIN|DEF|NOM//obj//3 är//VB|PRS|AKT//cop//8 inte//AB//advmod//8 det//DT|NEU|SIN|DEF//det//8 enklaste//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//ROOT//8 .//MAD//punct//8
4 Vilken information och vilka kunskaper behöver en företagare?;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//12 kan//VB|PRS|AKT//aux//12 ta//VB|INF|AKT//conj//8 allt//PN|NEU|SIN|IND|SUB/OBJ//obj//12 ifrån//PP//case//16 några//DT|UTR/NEU|PLU|IND//det//16 timmar//NN|UTR|PLU|IND|NOM//obl//12 till//PP//case//19 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//19 månader//NN|UTR|PLU|IND|NOM//nmod//16 .//MAD//punct//12
4 Vilken information och vilka kunskaper behöver en företagare?;Han//PN|UTR|SIN|DEF|SUB//nsubj//24 ///MID//cc//23 hon//PN|UTR|SIN|DEF|SUB//conj//21 behöver//VB|PRS|AKT//parataxis//12 kanske//AB//advmod//26 förbättra//VB|INF|AKT//xcomp//24 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//28 kunskaper//NN|UTR|PLU|IND|NOM//obj//26 på//PP//case//31 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//31 områden//NN|NEU|PLU|IND|NOM//nmod//28 .//MAD//punct//24
4 Vilken information och vilka kunskaper behöver en företagare?;Dessutom//AB//advmod//36 kan//VB|PRS|AKT//aux//36 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//36 finnas//VB|INF|SFO//amod//37 behov//NN|NEU|SIN|IND|NOM//obj//24 av//PP//case//40 en//DT|UTR|SIN|IND//det//40 diskussionspartner//NN|UTR|SIN|IND|NOM//nmod//37 .//MAD//punct//12

4.1 Företagsform;Allt//DT|NEU|SIN|IND/DEF//det//1 företagande//NN|NEU|SIN|IND|NOM//nsubj:pass//2 bedrivs//VB|PRS|SFO//ROOT//2 i//PP//case//5 en//DT|UTR|SIN|IND//det//5 företagsform//NN|UTR|SIN|IND|NOM//obl//2 .//MAD//punct//2
4.1 Företagsform;Företagaren//NN|UTR|SIN|DEF|NOM//nsubj//9 måste//VB|PRS|AKT//aux//9 välja//VB|INF|AKT//parataxis//2 mellan//PP//obl//9 ://MID//punct//9 ·//NN|UTR|SIN|IND|NOM//obl//14
4.1 Företagsform;enskild//JJ|POS|UTR|SIN|IND|NOM//amod//14 näringsidkare//NN|UTR|SIN|IND|NOM//amod//23 ·//PP//case//16 handels-//NN|NEU|-|-|SMS//conj//14 eller//KN//cc//18 kommanditbolag//NN|NEU|PLU|IND|NOM//conj//16 ·//PM|GEN//conj//14 aktiebolag//NN|NEU|SIN|IND|NOM//conj//14 ·//PP//punct//20 ekonomisk//JJ|POS|UTR|SIN|IND|NOM//amod//23 förening//NN|UTR|SIN|IND|NOM//obl//9
4.1 Företagsform;Vilken//HD|UTR|SIN|IND//det//1 företagsform//NN|UTR|SIN|IND|NOM//obj//4 man//PN|UTR|SIN|IND|SUB//nsubj//4 bör//VB|PRS|AKT//aux//4 välja//VB|INF|AKT//ROOT//4 beror//VB|PRS|AKT//xcomp//4 på//PP//case//8 företagets//NN|NEU|SIN|DEF|GEN//nmod:poss//8 karaktär//NN|UTR|SIN|IND|NOM//obl//5 och//KN//cc//11 egna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//11 förutsättningar//NN|UTR|PLU|IND|NOM//conj//8 .//MAD//punct//4
4.1 Företagsform;För//PP//mark//15 att//IE//mark//15 få//VB|INF|AKT//advcl//25 en//DT|UTR|SIN|IND//det//17 uppfattning//NN|UTR|SIN|IND|NOM//obj//15 om//PP//case//20 vilken//HD|UTR|SIN|IND//det//20 företagsform//NN|UTR|SIN|IND|NOM//obl//15 som//HP|-|-|-//nsubj//22 passar//VB|PRS|AKT//acl:relcl//20 bör//VB|PRS|AKT//aux//25 alternativen//NN|NEU|PLU|DEF|NOM//nsubj:pass//25 jämföras//VB|INF|SFO//parataxis//4 noggrant//AB|POS//advmod//25 .//MAD//punct//25
4.1 Företagsform;Frågor//NN|UTR|PLU|IND|NOM//parataxis//4 som//HP|-|-|-//obl//32 företagaren//NN|UTR|SIN|DEF|NOM//nsubj//32 måste//VB|PRS|AKT//aux//32 ta//VB|INF|AKT//acl:relcl//28 ställning//NN|UTR|SIN|IND|NOM//obj//32 till//PP//case//29 är//VB|PRS|AKT//cop//28 ://MAD//punct//4
4.1 Företagsform;Vad//HP|NEU|SIN|IND//nsubj:pass//1 krävs//VB|PRS|SFO//ROOT//1 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//1 för//PP//mark//5 att//IE//mark//5 komma//VB|INF|AKT//advcl//1 igång//PL//compound:prt//5 ?//MID//punct//1
4.1 Företagsform;Hur//HA//advmod//9 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//10 delägare//NN|UTR|PLU|IND|NOM//obj//13 kan//VB|PRS|AKT//aux//13 man//PN|UTR|SIN|IND|SUB//nsubj//13 vara//VB|INF|AKT//parataxis//1 ?//MID//punct//17
4.1 Företagsform;Vilket//HD|NEU|SIN|IND//det//17 personligt//JJ|POS|NEU|SIN|IND|NOM//amod//17 ansvar//NN|NEU|SIN|IND|NOM//nsubj//22 eller//KN//cc//19 krav//NN|NEU|SIN|IND|NOM//conj//17 på//PP//case//21 kontantinsats//NN|UTR|SIN|IND|NOM//nmod//17 finns//VB|PRS|SFO//ccomp//13 ?//MID//punct//22
4.1 Företagsform;Vilka//HD|UTR/NEU|PLU|IND//det//25 skatteregler//NN|UTR|PLU|IND|NOM//nsubj//26 gäller//VB|PRS|AKT//conj//22 ?//MID//punct//26
4.1 Företagsform;Skyddas//VB|PRS|SFO//conj//22 företagsnamnet//NN|NEU|SIN|DEF|NOM//nsubj:pass//28 regionalt//AB|POS//xcomp//28 eller//KN//cc//32 landsomfattande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//30 ?//MID//punct//36
4.1 Företagsform;Vilka//HD|UTR/NEU|PLU|IND//det//35 krav//NN|NEU|PLU|IND|NOM//nsubj:pass//36 ställs//VB|PRS|SFO//conj//22 på//PP//case//38 redovisningen//NN|UTR|SIN|DEF|NOM//obl//36 ?//MAD//punct//13

4.2 Registrering;När//HA//mark//3 beslutet//NN|NEU|SIN|DEF|NOM//nsubj//3 är//VB|PRS|AKT//cop//3 fattat//PC|PRF|NEU|SIN|IND|NOM//advcl//13 om//PP//case//6 vilken//HD|UTR|SIN|IND//det//6 företagsform//NN|UTR|SIN|IND|NOM//obl//3 som//HP|-|-|-//obj//10 företaget//NN|NEU|SIN|DEF|NOM//nsubj//10 skall//VB|PRS|AKT//aux//10 ha//VB|INF|AKT//acl:relcl//6 måste//VB|PRS|AKT//aux//13 nyföretagaren//NN|UTR|SIN|DEF|NOM//nsubj//13 kontakta//VB|INF|AKT//ROOT//13 Patent-//NN|NEU|-|-|SMS//obj//13 och//KN//cc//16 registreringsverket//NN|NEU|SIN|DEF|NOM//conj//14 eller//KN//cc//19 annan//JJ|POS|UTR|SIN|IND|NOM//amod//19 myndighet//NN|UTR|SIN|IND|NOM//conj//14 (//PAD//punct//13 länsstyrelsen//NN|UTR|SIN|DEF|NOM//appos//13 vad//HP|NEU|SIN|IND//nsubj//23 gäller//VB|PRS|AKT//acl:relcl//21 stiftelser//NN|UTR|PLU|IND|NOM//obj//23 )//PAD//punct//21 för//PP//case//27 registrering//NN|UTR|SIN|IND|NOM//obl//13 av//PP//case//29 företaget//NN|NEU|SIN|DEF|NOM//nmod//27 .//MAD//punct//13

4.3 Nödvändiga myndighetskontakter;För//PP//mark//3 att//IE//mark//3 få//VB|INF|AKT//aux//3 starta//VB|INF|AKT//advcl//8 ett//DT|NEU|SIN|IND//det//5 företag//NN|NEU|SIN|IND|NOM//obj//3 i//PP//case//7 Sverige//PM|NOM//obl//3 gäller//VB|PRS|AKT//ROOT//8 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//11 allmänna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//11 grunder//NN|UTR|PLU|IND|NOM//obj//8 .//MID//punct//8
4.3 Nödvändiga myndighetskontakter;Samtliga//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//15 blivande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//15 företagare//NN|UTR|PLU|IND|NOM//nsubj//18 måste//VB|PRS|AKT//aux//18 först//AB//advmod//18 kontakta//VB|INF|AKT//parataxis//8 ett//DT|NEU|SIN|IND//det//20 antal//NN|NEU|SIN|IND|NOM//nmod//21 myndigheter//NN|UTR|PLU|IND|NOM//obj//18 i//PP//case//24 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//24 frågor//NN|UTR|PLU|IND|NOM//obl//18 ://MAD//punct//8

