%LODJD .RQVXOWUDSSRUW;LNUDIWWUlGDQGHW//KN//ROOT//0 DY//PM|NOM//nsubj//0 PLOM|EDONHQ//NN|AN//flat:name//1 .RQVXOWUDSSRUW//MID//punct//0 WLOO//PM|NOM//nmod//5 628//RG|NOM//appos//0 .RQVXOWUDSSRUW//MID//punct//5 WLOO//PM|NOM//nmod//8 628//RG|NOM//appos//5

,QQHKnOO;6DPPDQIDWWQLQJ//RG|NOM//nummod//6 )//PAD//punct//0 |UXWVlWWQLQJDUQD//NN|UTR|SIN|IND|NOM//discourse//6 .RQFHSWHW//MAD//punct//2 .XUVHU//MAD//punct//2 2PIDWWQLQJ//PAD//nsubj//6 8SSOlJJQLQJ//RG|NOM//ROOT//6 .XUVPDWHULDO//MAD//punct//6 5HJLRQDOD//AB|AN//nummod//10 NXUVDQRUGQDUH//PM|NOM//nsubj//10 /lUDUH//RG|NOM//appos//6 ,//MID//punct//14 QIRUPDWLRQ)|UVODJ//PM|NOM//nsubj//14 WLOO//PM|NOM//flat//12 I|UElWWULQJDU//PL//conj//10 .RQVXOWUDSSRUW//MID//punct//14 WLOO//PM|NOM//nmod//17 628//RG|NOM//nmod//14
7lFNQLQJ;.RQVXOWUDSSRUW//MID//punct//2 WLOO//PM|NOM//nmod//2 628//RG|NOM//ROOT//2 .RQVXOWUDSSRUW//MID//punct//2 WLOO//PM|NOM//nmod//5 628//RG|NOM//appos//2 .RQVXOWUDSSRUW//MID//punct//2 WLOO//PM|NOM//nmod//8 628//RG|NOM//nummod//9 œ//NN|AN//obl//2 œ//NN|AN//obl//2

1\WWD;.RQVXOWUDSSRUW//MID//punct//2 WLOO//PM|NOM//nmod//2 628//RG|NOM//ROOT//2 .RQVXOWUDSSRUW//MID//punct//2 WLOO//PM|NOM//nmod//5 628//RG|NOM//appos//2 .RQVXOWUDSSRUW//MID//punct//2 WLOO//PM|NOM//nmod//8 628//RG|NOM//nummod//9 œ//NN|AN//obl//2 œ//NN|AN//case//11 œ//NN|AN//obl//2 .RQVXOWUDSSRUW//MID//punct//2 WLOO//PM|NOM//nmod//14 628//RG|NOM//nummod//15 œ//NN|AN//obl//2

.YDOLWHW;.RQVXOWUDSSRUW//MID//punct//2 WLOO//PM|NOM//nmod//2 628//RG|NOM//ROOT//2 .RQVXOWUDSSRUW//MID//punct//2 WLOO//PM|NOM//nmod//5 628//RG|NOM//appos//2 .RQVXOWUDSSRUW//MID//punct//2 WLOO//PM|NOM//nmod//8 628//RG|NOM//nummod//9 œ//NN|AN//obl//2

.XUVPDWHULDO RFK ,QIRUPDWLRQ;.RQVXOWUDSSRUW//MID//punct//2 WLOO//PM|NOM//nmod//2 628//RG|NOM//ROOT//2 .RQVXOWUDSSRUW//MID//punct//2 WLOO//PM|NOM//nmod//2 628//RG|NOM//nummod//6 œ//NN|AN//nmod//4 .RQVXOWUDSSRUW//MID//punct//4 WLOO//PM|NOM//nmod//9 628//RG|NOM//appos//2

)UDPWLGHQ;SURFHQW//NN|NEU|SIN|DEF|NOM//ROOT//0
)UDPWLGHQ;.RQVXOWUDSSRUW//MID//punct//2 WLOO//PM|NOM//nmod//2 628//RG|NOM//ROOT//2
)UDPWLGHQ;SURFHQW//NN|NEU|SIN|DEF|NOM//ROOT//0
)UDPWLGHQ;6DPPDQIDWWQLQJ//RG|NOM//ROOT//0

