Ett modernare utsökningsförfarande;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utsökningsutredningen//NN|UTR|SIN|DEF|NOM//nmod//0
16.16.2 Förslaget att Kronofogdemyndigheten ska vara part i mål som avser överklagande av förrättningskostnader / Statens privilegier;Jag//PN|UTR|SIN|DEF|SUB//nsubj//32 har//VB|PRS|AKT//parataxis//6 av//PP//case//34 Kronofogdemyndigheten//PM|NOM//obl//32 (//PAD//punct//32 2015//RG|NOM//nummod//37 års//NN|NEU|SIN|IND|GEN//nmod:poss//38 siffror//NN|UTR|PLU|IND|NOM//obj//32 )//PAD//punct//32 erhållit//VB|SUP|AKT//conj//32 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//42 uppgifter//NN|UTR|PLU|IND|NOM//obj//40 .//MAD//punct//32
16.16.2 Förslaget att Kronofogdemyndigheten ska vara part i mål som avser överklagande av förrättningskostnader / Statens privilegier;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//1 finns//VB|PRS|SFO//ROOT//1 100//RG|NOM//nummod//3 076//RG|NOM//nummod//4 gäldenärer//NN|UTR|PLU|IND|NOM//nsubj//1 som//HP|-|-|-//nsubj//7 är//VB|PRS|AKT//cop//7 föremål//NN|NEU|SIN|IND|NOM//acl:relcl//4 för//PP//case//9 löneutmätning//NN|UTR|SIN|IND|NOM//nmod//7 .//MID//punct//1
16.16.2 Förslaget att Kronofogdemyndigheten ska vara part i mål som avser överklagande av förrättningskostnader / Statens privilegier;Det//DT|NEU|SIN|DEF//det//12 antal//NN|NEU|SIN|IND|NOM//nmod//13 gäldenärer//NN|UTR|PLU|IND|NOM//nsubj//1 som//HP|-|-|-//nsubj//15 har//VB|PRS|AKT//acl:relcl//13 både//KN//cc//17 e-måls-//PM|NOM//obj//15 och//KN//cc//19 a-målsfordringar//NN|UTR|PLU|IND|NOM//conj//17 mot//PP//case//21 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obl//15 (//PAD//punct//13 och//KN//cc//27 där//HA//advmod//27 konkurrensen//NN|UTR|SIN|DEF|NOM//nsubj//27 är//VB|PRS|AKT//cop//27 satt//PC|PRF|UTR|SIN|IND|NOM//conj//1 ur//PP//compound:prt//27 spel//NN|NEU|SIN|IND|NOM//fixed//28 till//PP//case//33 följd//NN|UTR|SIN|IND|NOM//fixed//30 av//PP//case//33 företrädesrätten//NN|UTR|SIN|DEF|NOM//obl//27 )//PAD//punct//27 uppgår//VB|PRS|AKT//conj//1 till//PP//case//38 15//RG|NOM//nummod//38 805//RG|NOM//obl//35 .//MAD//punct//1
16.16.2 Förslaget att Kronofogdemyndigheten ska vara part i mål som avser överklagande av förrättningskostnader / Statens privilegier;Under//PP//case//42 år//NN|NEU|SIN|IND|NOM//nmod//42 2015//RG|NOM//obl//1 fick//VB|PRT|AKT//parataxis//1 a-mål//NN|NEU|SIN|IND|NOM//obj//43 med//PP//case//46 företrädesrätt//NN|UTR|SIN|IND|NOM//obl//43 ca//AB|AN//advmod//48 684//RG|NOM//nummod//49 miljoner//NN|UTR|PLU|IND|NOM//obj//43 av//PP//case//53 de//DT|UTR/NEU|PLU|DEF//det//53 908//RG|NOM//nummod//53 miljoner//NN|UTR|PLU|IND|NOM//nmod//49 som//HP|-|-|-//nsubj//55 inflöt//VB|PRT|AKT//acl:relcl//53 i//PP//case//57 löneutmätning//NN|UTR|SIN|IND|NOM//obl//55 för//PP//case//59 a-mål//PM|NOM//obl//55 .//MAD//punct//1
16.16.2 Förslaget att Kronofogdemyndigheten ska vara part i mål som avser överklagande av förrättningskostnader / Statens privilegier;Med//PP//case//64 en//DT|UTR|SIN|IND//det//64 avskaffad//PC|PRF|UTR|SIN|IND|NOM//amod//64 företrädesrätt//NN|UTR|SIN|IND|NOM//obl//69 skulle//VB|PRT|AKT//aux//69 utfallet//NN|NEU|SIN|DEF|NOM//nsubj//69 för//PP//case//68 staten//NN|UTR|SIN|DEF|NOM//nmod//66 bli//VB|INF|AKT//parataxis//1 lägre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//xcomp//69 än//KN//case//74 de//DT|UTR/NEU|PLU|DEF//det//74 684//RG|NOM//nummod//74 miljoner//NN|UTR|PLU|IND|NOM//obl//69 som//HP|-|-|-//nsubj:pass//76 erhållits//VB|SUP|SFO//acl:relcl//74 .//MAD//punct//69
16.16.2 Förslaget att Kronofogdemyndigheten ska vara part i mål som avser överklagande av förrättningskostnader / Statens privilegier;Frågan//NN|UTR|SIN|DEF|NOM//nsubj//82 är//VB|PRS|AKT//cop//82 hur//HA//advmod//82 mycket//AB|POS//advmod//82 lägre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//parataxis//69 .//MAD//punct//1
16.16.2 Förslaget att Kronofogdemyndigheten ska vara part i mål som avser överklagande av förrättningskostnader / Statens privilegier;Den//DT|UTR|SIN|DEF//det//1 gruppen//NN|UTR|SIN|DEF|NOM//nsubj//15 som//HP|-|-|-//nsubj:pass//3 redovisas//VB|PRS|SFO//acl:relcl//1 ovan//AB//advmod//3 med//PP//case//7 både//KN//cc//7 e-//NN|UTR|-|-|SMS//obl//3 och//KN//cc//9 a-mål//PM|NOM//conj//7 ,//MID//punct//1 (//PAD//punct//1 15//RG|NOM//nummod//13 805//RG|NOM//appos//1 )//PAD//punct//1 hade//VB|PRT|AKT//ROOT//15 skulder//NN|UTR|PLU|IND|NOM//obj//15 i//PP//case//18 a-mål//PM|NOM//nmod//16 som//HP|-|-|-//nsubj//20 uppgick//VB|PRT|AKT//acl:relcl//18 till//PP//case//24 1,203//RG|NOM//nummod//23 miljarder//NN|UTR|PLU|IND|NOM//nmod//24 kr//NN|AN//obl//20 och//KN//cc//27 i//PP//case//27 e-mål//PM|NOM//conj//24 3,117//RG|NOM//nummod//29 miljarder//NN|UTR|PLU|IND|NOM//obj//15 .//MAD//punct//15
16.16.2 Förslaget att Kronofogdemyndigheten ska vara part i mål som avser överklagande av förrättningskostnader / Statens privilegier;Om//SN//mark//34 således//AB//advmod//33 skatteprivilegiet//NN|NEU|SIN|DEF|NOM//nsubj:pass//34 avskaffades//VB|PRT|SFO//advcl//40 skulle//VB|PRT|AKT//aux//40 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//40 (//PAD//punct//38 matematiskt//AB|POS//advmod//40 )//PAD//punct//38 leda//VB|INF|AKT//parataxis//15 till//PP//mark//45 att//SN//mark//45 a-målen//NN|UTR|SIN|DEF|NOM//nsubj//45 skulle//VB|PRT|AKT//aux//45 erhålla//VB|INF|AKT//advcl//40 28//RG|NOM//nummod//47 %//NN|AN//obj//45 av//PP//case//50 det//DT|NEU|SIN|DEF//det//50 belopp//NN|NEU|SIN|IND|NOM//nmod//47 som//HP|-|-|-//nsubj//54 i//PP//advmod//54 dag//NN|UTR|SIN|IND|NOM//fixed//52 utfaller//VB|PRS|AKT//acl:relcl//50 med//PP//case//56 privilegier//NN|NEU|PLU|IND|NOM//obl//54 ,//MID//punct//62 eller//KN//cc//62 ca//AB|AN//advmod//60 190//RG|NOM//nummod//61 miljoner//NN|UTR|PLU|IND|NOM//nmod//62 kr//NN|AN//conj//40 i//PP//case//67 stället//NN|NEU|SIN|DEF|NOM//fixed//63 för//PP//fixed//63 684//RG|NOM//nummod//67 miljoner//NN|UTR|PLU|IND|NOM//nmod//68 kr.//NN|AN//nmod//62 Ett//DT|NEU|SIN|IND//det//70 bortfall//NN|NEU|SIN|IND|NOM//obl//40 för//PP//case//72 staten//NN|UTR|SIN|DEF|NOM//nmod//70 om//PP//case//77 knappt//AB|POS//advmod//75 500//RG|NOM//nummod//76 miljoner//NN|UTR|PLU|IND|NOM//nmod//77 kr//NN|AN//nmod//72 per//PP//case//79 år//NN|NEU|SIN|IND|NOM//nmod//77 kan//VB|PRS|AKT//aux//82 alltså//AB//advmod//82 uppkomma//VB|INF|AKT//conj//15 .//MAD//punct//15
16.16.2 Förslaget att Kronofogdemyndigheten ska vara part i mål som avser överklagande av förrättningskostnader / Statens privilegier;Om//SN//mark//86 beteendeförändringar//NN|UTR|PLU|IND|NOM//nsubj//86 inträffar//VB|PRS|AKT//advcl//91 i//PP//case//88 borgenärskretsen//NN|UTR|SIN|DEF|NOM//obl//86 kan//VB|PRS|AKT//aux//91 bortfallet//NN|NEU|SIN|DEF|NOM//nsubj//91 bli//VB|INF|AKT//conj//15 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//xcomp//91 ,//MID//punct//94 oklart//JJ|POS|NEU|SIN|IND|NOM//advcl//91 hur//HA//advmod//96 stort//JJ|POS|NEU|SIN|IND|NOM//ccomp//94 .//MID//punct//15
16.16.2 Förslaget att Kronofogdemyndigheten ska vara part i mål som avser överklagande av förrättningskostnader / Statens privilegier;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//99 är//VB|PRS|AKT//cop//104 över//PP//advmod//104 huvud//NN|NEU|SIN|IND|NOM//fixed//100 taget//PC|PRF|NEU|SIN|IND|NOM//fixed//100 inte//AB//advmod//104 möjligt//JJ|POS|NEU|SIN|IND|NOM//parataxis//15 att//IE//mark//106 beräkna//VB|INF|AKT//csubj//104 ett//DT|NEU|SIN|IND//det//110 ytterligare//AB|KOM//advmod//109 eventuellt//JJ|POS|NEU|SIN|IND|NOM//amod//110 bortfall//NN|NEU|SIN|IND|NOM//obj//106 .//MAD//punct//15
16.16.2 Förslaget att Kronofogdemyndigheten ska vara part i mål som avser överklagande av förrättningskostnader / Statens privilegier;En//DT|UTR|SIN|IND//det//113 statsbudget//NN|UTR|SIN|IND|NOM//nsubj//116 i//PP//case//115 Sverige//PM|NOM//nmod//113 brukar//VB|PRS|AKT//conj//15 ligga//VB|INF|AKT//xcomp//116 på//PP//case//123 ungefär//AB//advmod//120 1//RG|NOM//nummod//121 000//RG|NOM//nummod//122 miljarder//NN|UTR|PLU|IND|NOM//nmod//123 kr//NN|AN//obl//117 per//PP//case//125 år//NN|NEU|SIN|IND|NOM//nmod//123 .//MAD//punct//116
16.16.2 Förslaget att Kronofogdemyndigheten ska vara part i mål som avser överklagande av förrättningskostnader / Statens privilegier;Bortfallet//NN|NEU|SIN|DEF|NOM//nsubj//135 för//PP//case//129 staten//NN|UTR|SIN|DEF|NOM//nmod//127 är//VB|PRS|AKT//cop//135 i//PP//case//132 sammanhanget//NN|NEU|SIN|DEF|NOM//nmod//135 ett//DT|NEU|SIN|IND//det//135 mindre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//135 belopp//NN|NEU|SIN|IND|NOM//parataxis//116 och//KN//cc//138 en//DT|UTR|SIN|IND//det//138 reform//NN|UTR|SIN|IND|NOM//conj//135 bör//VB|PRS|AKT//aux//143 enligt//PP//case//142 min//PS|UTR|SIN|DEF//nmod:poss//142 mening//NN|UTR|SIN|IND|NOM//obl//143 genomföras//VB|INF|SFO//advcl//116 .//MAD//punct//116
16.16.2 Förslaget att Kronofogdemyndigheten ska vara part i mål som avser överklagande av förrättningskostnader / Statens privilegier;Lagstiftningstekniskt//AB|POS//parataxis//116 är//VB|PRS|AKT//cop//150 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//150 en//DT|UTR|SIN|IND//det//150 enkel//JJ|POS|UTR|SIN|IND|NOM//amod//150 åtgärd//NN|UTR|SIN|IND|NOM//conj//15 .//MAD//punct//15
16.16.2 Förslaget att Kronofogdemyndigheten ska vara part i mål som avser överklagande av förrättningskostnader / Statens privilegier;Ansvar//NN|NEU|SIN|IND|NOM//ROOT//0 för//PP//case//2 förrättningskostnader//NN|UTR|PLU|IND|NOM//nmod//0 och//KN//cc//4 följder//NN|UTR|PLU|IND|NOM//conj//2 därav//AB//advmod//4
16.16.2 Förslaget att Kronofogdemyndigheten ska vara part i mål som avser överklagande av förrättningskostnader / Statens privilegier;Utgångspunkterna//NN|UTR|PLU|DEF|NOM//nsubj//3 är//VB|PRS|AKT//cop//3 de//DT|UTR/NEU|PLU|DEF//nsubj//3 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//ROOT//3 ,//MID//punct//3 (//PAD//punct//6 siffror//NN|UTR|PLU|IND|NOM//appos//3 från//PP//case//9 Kfms//PM|NOM//amod//9 årsredovsning//NN|UTR|SIN|IND|NOM//nmod//6 2015//RG|NOM//nummod//9 ,//MID//punct//6 men//KN//cc//14 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//14 ser//VB|PRS|AKT//conj//6 i//PP//advmod//14 huvudsak//NN|UTR|SIN|IND|NOM//fixed//15 lika//AB//advmod//18 ut//PL//advmod//14 varje//DT|UTR/NEU|SIN|IND//det//20 år//NN|NEU|SIN|IND|NOM//obl//14 )//PAD//punct//6 .//MAD//punct//3
16.16.2 Förslaget att Kronofogdemyndigheten ska vara part i mål som avser överklagande av förrättningskostnader / Statens privilegier;Kfm//NN|NEU|SIN|IND|NOM//nsubj:pass//1 finansieras//VB|PRS|SFO//ROOT//1 via//PP//case//3 anslag//NN|NEU|PLU|IND|NOM//obl//1 i//PP//case//5 statsbudgeten//NN|UTR|SIN|DEF|NOM//obl//1 ,//MID//punct//9 ca//AB|AN//advmod//8 1,8//RG|NOM//nummod//9 miljarder//NN|UTR|PLU|IND|NOM//obl//1 per//PP//case//11 år//NN|NEU|SIN|IND|NOM//nmod//9 för//PP//mark//14 att//IE//mark//14 bestrida//VB|INF|AKT//advcl//1 de//DT|UTR/NEU|PLU|DEF//det//16 kostnader//NN|UTR|PLU|IND|NOM//obj//14 som//HP|-|-|-//nsubj//18 uppstår//VB|PRS|AKT//acl:relcl//16 i//PP//case//20 verksamheten//NN|UTR|SIN|DEF|NOM//obl//18 .//MID//punct//1
16.16.2 Förslaget att Kronofogdemyndigheten ska vara part i mål som avser överklagande av förrättningskostnader / Statens privilegier;(//PAD//punct//27 Myndigheten//NN|UTR|SIN|DEF|NOM//nsubj//27 får//VB|PRS|AKT//aux//27 alltså//AB//advmod//27 inte//AB//advmod//27 tillgodogöra//VB|INF|AKT//parataxis//1 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//iobj//27 inbetalda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//30 förrättningsavgifter//NN|UTR|PLU|IND|NOM//obj//27 )//PAD//punct//27 .//MAD//punct//27
16.16.2 Förslaget att Kronofogdemyndigheten ska vara part i mål som avser överklagande av förrättningskostnader / Statens privilegier;Ungefär//AB//advmod//34 1,3//RG|NOM//nummod//35 miljarder//NN|UTR|PLU|IND|NOM//obj//27 av//PP//case//37 kostnaderna//NN|UTR|PLU|DEF|NOM//nmod//35 avser//VB|PRS|AKT//conj//27 utsökningsområdet//NN|NEU|SIN|DEF|NOM//obj//38 (//PAD//punct//39 summarisk//JJ|POS|UTR|SIN|IND|NOM//amod//42 process//NN|UTR|SIN|IND|NOM//nsubj//43 kostar//VB|PRS|AKT//conj//27 ca//AB|AN//advmod//45 300//RG|NOM//nummod//46 miljoner//NN|UTR|PLU|IND|NOM//obj//43 och//KN//cc//48 skuldsanering//NN|UTR|SIN|IND|NOM//conj//46 ca//AB|AN//advmod//50 130//RG|NOM//nummod//51 miljoner//NN|UTR|PLU|IND|NOM//obl//43 )//PAD//punct//27 .//MAD//punct//1
16.16.2 Förslaget att Kronofogdemyndigheten ska vara part i mål som avser överklagande av förrättningskostnader / Statens privilegier;Kfm//NN|UTR|SIN|IND|NOM//nsubj//1 hanterar//VB|PRS|AKT//ROOT//1 årligen//AB//advmod//1 ca//AB|AN//advmod//4 2//RG|NOM//nummod//5 269//RG|NOM//obl//6 000//RG|NOM//nummod//7 exekutionsmål//NN|NEU|PLU|IND|NOM//obj//1 ,//MID//punct//1 varav//HA//conj//1 610//RG|NOM//nummod//11 000//RG|NOM//nsubj//9 eller//KN//cc//15 knappt//AB|POS//advmod//14 27//RG|NOM//nummod//15 %//NN|AN//conj//11 är//VB|PRS|AKT//cop//18 enskilda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//18 mål//NN|NEU|PLU|IND|NOM//obj//1 .//MAD//punct//18
16.16.2 Förslaget att Kronofogdemyndigheten ska vara part i mål som avser överklagande av förrättningskostnader / Statens privilegier;Resterande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//21 mål//NN|NEU|PLU|IND|NOM//appos//18 ,//MID//punct//25 eller//KN//cc//25 73//RG|NOM//nummod//25 %//NN|AN//conj//21 ,//MID//punct//21 är//VB|PRS|AKT//cop//30 således//AB//advmod//29 allmänna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//30 mål//NN|NEU|PLU|IND|NOM//conj//1 .//MAD//punct//30
16.16.2 Förslaget att Kronofogdemyndigheten ska vara part i mål som avser överklagande av förrättningskostnader / Statens privilegier;Kostnaden//NN|UTR|SIN|DEF|NOM//obj//1 för//PP//mark//35 att//IE//mark//35 hantera//VB|INF|AKT//acl//32 allmänna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//37 mål//NN|NEU|PLU|IND|NOM//obj//35 kan//VB|PRS|AKT//aux//41 med//PP//case//40 ledning//NN|UTR|SIN|IND|NOM//obl//41 härav//AB//conj//1 matematiskt//AB|POS//advmod//43 beräknas//VB|PRS|SFO//advcl//1 till//PP//case//46 949//RG|NOM//nummod//46 miljoner//NN|UTR|PLU|IND|NOM//obl//43 (//PAD//punct//46 73//RG|NOM//nummod//49 %//NN|AN//appos//46 av//PP//case//52 1,3//RG|NOM//nummod//52 miljarder//NN|UTR|PLU|IND|NOM//nmod//49 )//PAD//punct//46 .//MAD//punct//1
16.16.2 Förslaget att Kronofogdemyndigheten ska vara part i mål som avser överklagande av förrättningskostnader / Statens privilegier;Kostnaden//NN|UTR|SIN|DEF|NOM//nsubj:pass//63 för//PP//mark//58 att//IE//mark//58 hantera//VB|INF|AKT//acl//55 enskilda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//60 mål//NN|NEU|PLU|IND|NOM//obj//58 kan//VB|PRS|AKT//aux//63 då//AB//advmod//63 beräknas//VB|INF|SFO//conj//1 till//PP//case//67 351//RG|NOM//nummod//66 miljoner//NN|UTR|PLU|IND|NOM//nmod//67 kr.//NN|AN//obl//63 (//PAD//punct//72 En//DT|UTR|SIN|IND//det//71 matematisk//JJ|POS|UTR|SIN|IND|NOM//amod//71 beräkning//NN|UTR|SIN|IND|NOM//nsubj:pass//72 används//VB|PRS|SFO//advcl//63 emedan//SN//mark//79 ingen//DT|UTR|SIN|IND//det//77 mer//AB|KOM//advmod//76 detaljerad//PC|PRF|UTR|SIN|IND|NOM//amod//77 redovisning//NN|UTR|SIN|IND|NOM//nsubj:pass//79 kan//VB|PRS|AKT//aux//79 presenteras//VB|INF|SFO//advcl//72 om//PP//mark//84 hur//HA//advmod//84 Kfms//PM|GEN//det//83 arbetsinsatser//NN|UTR|PLU|IND|NOM//nsubj:pass//84 fördelas//VB|PRS|SFO//advcl//79 mellan//PP//case//86 a-mål//PM|NOM//obl:agent//84 och//KN//cc//88 e-mål//PM|NOM//conj//86 )//PAD//punct//72 .//MAD//punct//1
16.16.2 Förslaget att Kronofogdemyndigheten ska vara part i mål som avser överklagande av förrättningskostnader / Statens privilegier;Grundavgifter//NN|UTR|PLU|IND|NOM//nsubj//9 i//PP//case//2 exekutionsmål//NN|NEU|SIN|IND|NOM//nmod//0 (//PAD//punct//0 den//DT|UTR|SIN|DEF//det//7 helt//AB|POS//advmod//6 dominerande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//7 avgiftstypen//NN|UTR|SIN|DEF|NOM//appos//0 )//PAD//punct//0 inflyter//VB|PRS|AKT//ROOT//9 med//PP//case//12 420//RG|NOM//nummod//12 miljoner//NN|UTR|PLU|IND|NOM//obl//9 i//PP//case//14 a-mål//PM|NOM//nmod//12 ,//MID//punct//19 medan//SN//mark//19 625//RG|NOM//nummod//18 miljoner//NN|UTR|PLU|IND|NOM//nsubj//19 inflyter//VB|PRS|AKT//advcl//9 i//PP//case//21 e-mål//PM|NOM//obl//19 .//MAD//punct//9
16.16.2 Förslaget att Kronofogdemyndigheten ska vara part i mål som avser överklagande av förrättningskostnader / Statens privilegier;Varifrån//HA//nsubj//6 (//PAD//punct//0 dvs.//AB|AN//advmod//4 från//PP//case//4 vem//HP|UTR|SIN|IND//nmod//0 )//PAD//punct//0 kommer//VB|PRS|AKT//ROOT//6 då//AB//advmod//6 pengarna//NN|UTR|PLU|DEF|NOM//nsubj//6 ?//MID//punct//6
16.16.2 Förslaget att Kronofogdemyndigheten ska vara part i mål som avser överklagande av förrättningskostnader / Statens privilegier;Eftersom//SN//mark//16 staten//NN|UTR|SIN|DEF|NOM//nsubj//16 med//PP//case//14 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//14 regler//NN|UTR|PLU|IND|NOM//obl//16 inte//AB//advmod//16 har//VB|PRS|AKT//advcl//6 ansvar//NN|NEU|SIN|IND|NOM//obj//16 för//PP//mark//20 att//IE//mark//20 betala//VB|INF|AKT//advcl//16 ansökningsavgifter//NN|UTR|PLU|IND|NOM//obj//20 i//PP//case//24 de//DT|UTR/NEU|PLU|DEF//det//24 fall//NN|NEU|PLU|IND|NOM//obl//20 avgifterna//NN|UTR|PLU|DEF|NOM//nsubj:pass//28 inte//AB//advmod//28 kan//VB|PRS|AKT//aux//28 uttagas//VB|INF|SFO//acl:relcl//24 av//PP//case//30 gäldenären//NN|UTR|SIN|DEF|NOM//obl:agent//28 ,//MID//punct//6 kommer//VB|PRS|AKT//aux//45 således//AB//advmod//32 alla//DT|UTR/NEU|PLU|IND/DEF//det//36 420//RG|NOM//nummod//36 miljoner//NN|UTR|PLU|IND|NOM//obl//45 i//PP//case//38 a-mål//PM|NOM//nmod//36 från//PP//case//40 gäldenärerna//NN|UTR|PLU|DEF|NOM//nmod//38 .//MID//punct//36
16.16.2 Förslaget att Kronofogdemyndigheten ska vara part i mål som avser överklagande av förrättningskostnader / Statens privilegier;Kort//AB//advmod//43 sagt//PC|PRF|NEU|SIN|IND|NOM//advcl//45 så//AB//advmod//45 underfinansieras//VB|PRS|SFO//conj//6 den//DT|UTR|SIN|DEF//det//48 exekutiva//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//48 verksamheten//NN|UTR|SIN|DEF|NOM//nsubj:pass//45 för//PP//case//50 a-mål//PM|NOM//obl//45 med//PP//case//55 drygt//AB|POS//advmod//53 500//RG|NOM//nummod//54 miljoner//NN|UTR|PLU|IND|NOM//nmod//55 kr//NN|AN//nmod//50 (//PAD//punct//55 kostnader//NN|UTR|PLU|IND|NOM//appos//55 på//PP//case//60 949//RG|NOM//nummod//60 miljoner//NN|UTR|PLU|IND|NOM//nmod//57 och//KN//cc//62 avgiftsintäkter//NN|UTR|PLU|IND|NOM//conj//60 på//PP//case//66 420//RG|NOM//nummod//65 miljoner//NN|UTR|PLU|IND|NOM//nmod//66 kr//NN|AN//nmod//62 )//PAD//punct//6 .//MAD//punct//6
16.16.2 Förslaget att Kronofogdemyndigheten ska vara part i mål som avser överklagande av förrättningskostnader / Statens privilegier;Annorlunda//AB//advmod//1 uttryckt//PC|PRF|NEU|SIN|IND|NOM//advcl//2 belastar//VB|PRS|AKT//advcl//20 staten//NN|UTR|SIN|DEF|NOM//obj//2 som//KN//mark//5 borgenär//NN|UTR|SIN|IND|NOM//xcomp//2 exekutionsväsendet//NN|NEU|SIN|DEF|NOM//obj//5 med//PP//case//9 väldiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//9 kostnader//NN|UTR|PLU|IND|NOM//nmod//6 i//PP//case//11 exekutionsmål//NN|NEU|PLU|IND|NOM//nmod//9 där//HA//advmod//16 svaranden//NN|UTR|SIN|DEF|NOM//nsubj//16 ///MID//cc//15 gäldenären//NN|UTR|SIN|DEF|NOM//conj//13 har//VB|PRS|AKT//aux//20 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//20 så//AB//advmod//19 illa//AB//advmod//20 ställt//PC|PRF|NEU|SIN|IND|NOM//ROOT//20 att//SN//mark//26 inte//AB//advmod//26 ens//AB//advmod//26 förrättningskostnader//NN|UTR|PLU|IND|NOM//nsubj:pass//26 kan//VB|PRS|AKT//aux//26 uttagas//VB|INF|SFO//ccomp//20 (//PAD//punct//26 än//KN//advmod//30 mindre//AB|KOM//advmod//30 något//PN|NEU|SIN|IND|SUB/OBJ//appos//26 som//HP|-|-|-//nsubj//33 kan//VB|PRS|AKT//aux//33 täcka//VB|INF|AKT//acl:relcl//30 den//DT|UTR|SIN|DEF//det//35 skuld//NN|UTR|SIN|IND|NOM//obj//33 för//PP//case//38 vilken//HD|UTR|SIN|IND//det//38 utsökning//NN|UTR|SIN|IND|NOM//nsubj:pass//39 anhängiggjorts//VB|SUP|SFO//advcl//33 )//PAD//punct//26 .//MAD//punct//20
16.16.2 Förslaget att Kronofogdemyndigheten ska vara part i mål som avser överklagande av förrättningskostnader / Statens privilegier;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//45 skulle//VB|PRT|AKT//aux//45 kunna//VB|INF|AKT//aux//45 anföras//VB|INF|SFO//parataxis//20 att//SN//mark//51 detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//51 är//VB|PRS|AKT//cop//51 av//PP//case//51 mindre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//51 betydelse//NN|UTR|SIN|IND|NOM//ccomp//45 eftersom//SN//mark//59 staten//NN|UTR|SIN|DEF|NOM//nsubj//59 ändå//AB//advmod//57 ,//MID//punct//57 via//PP//case//57 anslag//NN|NEU|PLU|IND|NOM//nmod//53 ,//MID//punct//59 ser//VB|PRS|AKT//advcl//51 till//PL//compound:prt//59 att//SN//mark//63 Kfm//PM|NOM//nsubj//63 får//VB|PRS|AKT//ccomp//59 de//DT|UTR/NEU|PLU|DEF//det//65 medel//NN|NEU|PLU|IND|NOM//obj//63 som//HP|-|-|-//nsubj:pass//67 erfordras//VB|PRS|SFO//acl:relcl//65 för//PP//mark//70 att//IE//mark//70 bedriva//VB|INF|AKT//advcl//67 verksamheten//NN|UTR|SIN|DEF|NOM//obj//70 .//MAD//punct//20
16.16.2 Förslaget att Kronofogdemyndigheten ska vara part i mål som avser överklagande av förrättningskostnader / Statens privilegier;Saken//NN|UTR|SIN|DEF|NOM//nsubj//77 är//VB|PRS|AKT//cop//77 emellertid//AB//advmod//77 mer//AB|KOM//advmod//77 komplicerad//PC|PRF|UTR|SIN|IND|NOM//parataxis//20 .//MAD//punct//77
16.16.2 Förslaget att Kronofogdemyndigheten ska vara part i mål som avser överklagande av förrättningskostnader / Statens privilegier;En//DT|UTR|SIN|IND//det//2 väsentlig//JJ|POS|UTR|SIN|IND|NOM//amod//2 fråga//NN|UTR|SIN|IND|NOM//nsubj//42 att//IE//mark//4 diskutera//VB|INF|AKT//acl//2 är//VB|PRS|AKT//cop//2 om//SN//mark//9 detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//9 är//VB|PRS|AKT//cop//9 rimligt//JJ|POS|NEU|SIN|IND|NOM//csubj//2 .//MID//punct//2
16.16.2 Förslaget att Kronofogdemyndigheten ska vara part i mål som avser överklagande av förrättningskostnader / Statens privilegier;Ska//VB|PRS|AKT//aux//13 exekutionsväsendet//NN|NEU|SIN|DEF|NOM//nsubj//13 hantera//VB|INF|AKT//parataxis//2 mål//NN|NEU|SIN|IND|NOM//obj//13 på//PP//case//17 detta//DT|NEU|SIN|DEF//det//17 sätt//NN|NEU|SIN|IND|NOM//obl//13 ?//MID//punct//2
